analysis_version,valid_for_generalization,coverage_guarantee_valid,seed,horizon_seconds,nominal_coverage,calibrated,clean_picp,leaky_picp,leaky_minus_clean_picp,clean_absolute_coverage_error,leaky_absolute_coverage_error,clean_mean_interval_width_bpm,leaky_mean_interval_width_bpm,leaky_minus_clean_width_bpm,clean_conformal_adjustment_bpm,leaky_conformal_adjustment_bpm,users,sessions,origins
0.28.0,False,False,20260722,180,0.8,True,0.7933731463791468,0.7919414189332713,-0.001431727445875497,0.006626853620853246,0.008058581066728743,23.038675156665278,22.955860629424567,-0.08281452724071059,0.0,0.0234375,948,16012,104144
0.28.0,False,False,20260722,300,0.8,True,0.7909922230660504,0.7868799484286764,-0.004112274637374069,0.009007776933949607,0.013120051571323676,24.96739290607533,24.812154034211094,-0.1552388718642348,0.0,0.0625,948,16012,104144
0.28.0,False,False,20260722,60,0.9,False,0.896153717821589,0.8923682861379869,-0.003785431683602125,0.003846282178410987,0.007631713862013112,24.814908734614363,24.441355706808945,-0.37355302780541777,0.0,0.0,948,16012,104144
0.28.0,False,False,20260722,180,0.9,False,0.8942690749672836,0.8904385424692214,-0.0038305324980622,0.0057309250327164385,0.009561457530778639,31.01402891770095,30.76211710057153,-0.2519118171294217,0.0,0.0,948,16012,104144
0.28.0,False,False,20260722,300,0.9,False,0.892105647924078,0.8888229734540015,-0.003282674470076463,0.00789435207592204,0.011177026545998503,33.77304011936541,33.50220100927834,-0.2708391100870742,0.0,0.0,948,16012,104144
0.28.0,False,False,20260722,60,0.9,True,0.8964621621170077,0.8952656471126041,-0.0011965150044035422,0.003537837882992334,0.004734352887395876,24.825305304951446,24.659903020588338,-0.16540228436310755,0.0052032470703125,0.109375,948,16012,104144
0.28.0,False,False,20260722,180,0.9,True,0.8942690749672836,0.8923531676364531,-0.0019159073308304686,0.0057309250327164385,0.007646832363546907,31.01402891770095,30.939053363505305,-0.07497555419564605,0.0,0.0885467529296875,948,16012,104144
0.28.0,False,False,20260722,300,0.9,True,0.892105647924078,0.890476355854552,-0.0016292920695260005,0.00789435207592204,0.00952364414544804,33.77304011936541,33.739463543579156,-0.03357657578625606,0.0,0.11875152587890625,948,16012,104144
0.28.0,False,False,20260723,60,0.5,False,0.48282395466819644,0.49091036689754985,0.008086412229353412,0.017176045331803558,0.009089633102450145,9.191006633460843,9.300949531674672,0.10994289821382885,0.0,0.0,948,16012,104144
0.28.0,False,False,20260723,180,0.5,False,0.48426102906924917,0.49064054241010435,0.006379513340855181,0.01573897093075083,0.009359457589895648,11.358226174941038,11.501210427878137,0.14298425293709904,0.0,0.0,948,16012,104144
