aggregation_version,experiment,family,phase,source_kind,model,source_model_version,source_analysis_version,protocol,regime,mode,horizon_seconds,nominal_coverage,calibrated,metric,aggregation,n_seeds,seeds,value_median,value_minimum,value_maximum,users,sessions,origins,seed_inferential_test
0.22.0,held_sport,indoor_virtual_cycling,evaluation,interval,history_quantile_tcn,0.12.0,,held_sport,joint_user_sport__indoor_virtual_cycling,history_informed,180,0.8,false,mean_interval_width_bpm,"origin-within-session, session-within-user, equal-user mean",3,20260722;20260723;20260724,27.300968170166016,26.358917236328125,28.172807693481445,18,234,1523,False
0.22.0,held_sport,indoor_virtual_cycling,evaluation,interval,history_quantile_tcn,0.12.0,,held_sport,joint_user_sport__indoor_virtual_cycling,history_informed,180,0.8,false,picp,"origin-within-session, session-within-user, equal-user mean",3,20260722;20260723;20260724,0.7749950885772705,0.7740275859832764,0.7824288010597229,18,234,1523,False
0.22.0,held_sport,indoor_virtual_cycling,evaluation,interval,history_quantile_tcn,0.12.0,,held_sport,joint_user_sport__indoor_virtual_cycling,history_informed,180,0.8,true,absolute_coverage_error,"origin-within-session, session-within-user, equal-user mean",3,20260722;20260723;20260724,0.0248410582542419,0.0175711989402771,0.0259724140167236,18,234,1523,False
0.22.0,held_sport,indoor_virtual_cycling,evaluation,interval,history_quantile_tcn,0.12.0,,held_sport,joint_user_sport__indoor_virtual_cycling,history_informed,180,0.8,true,conformal_adjustment_bpm,"origin-within-session, session-within-user, equal-user mean",3,20260722;20260723;20260724,0.0,0.0,0.02734375,18,234,1523,False
0.22.0,held_sport,indoor_virtual_cycling,evaluation,interval,history_quantile_tcn,0.12.0,,held_sport,joint_user_sport__indoor_virtual_cycling,history_informed,180,0.8,true,mean_interval_width_bpm,"origin-within-session, session-within-user, equal-user mean",3,20260722;20260723;20260724,27.355655670166016,26.358917236328125,28.172807693481445,18,234,1523,False
0.22.0,held_sport,indoor_virtual_cycling,evaluation,interval,history_quantile_tcn,0.12.0,,held_sport,joint_user_sport__indoor_virtual_cycling,history_informed,180,0.8,true,picp,"origin-within-session, session-within-user, equal-user mean",3,20260722;20260723;20260724,0.7751589417457581,0.7740275859832764,0.7824288010597229,18,234,1523,False
0.22.0,held_sport,indoor_virtual_cycling,evaluation,interval,history_quantile_tcn,0.12.0,,held_sport,joint_user_sport__indoor_virtual_cycling,history_informed,180,0.9,false,absolute_coverage_error,"origin-within-session, session-within-user, equal-user mean",3,20260722;20260723;20260724,0.0348679065704345,0.0340762376785278,0.0350295543670654,18,234,1523,False
0.22.0,held_sport,indoor_virtual_cycling,evaluation,interval,history_quantile_tcn,0.12.0,,held_sport,joint_user_sport__indoor_virtual_cycling,history_informed,180,0.9,false,conformal_adjustment_bpm,"origin-within-session, session-within-user, equal-user mean",3,20260722;20260723;20260724,0.0,0.0,0.0,18,234,1523,False
0.22.0,held_sport,indoor_virtual_cycling,evaluation,interval,history_quantile_tcn,0.12.0,,held_sport,joint_user_sport__indoor_virtual_cycling,history_informed,180,0.9,false,mean_interval_width_bpm,"origin-within-session, session-within-user, equal-user mean",3,20260722;20260723;20260724,37.41551971435547,36.25298309326172,39.01057434082031,18,234,1523,False
0.22.0,held_sport,indoor_virtual_cycling,evaluation,interval,history_quantile_tcn,0.12.0,,held_sport,joint_user_sport__indoor_virtual_cycling,history_informed,180,0.9,false,picp,"origin-within-session, session-within-user, equal-user mean",3,20260722;20260723;20260724,0.8651320934295654,0.8649704456329346,0.8659237623214722,18,234,1523,False
0.22.0,held_sport,indoor_virtual_cycling,evaluation,interval,history_quantile_tcn,0.12.0,,held_sport,joint_user_sport__indoor_virtual_cycling,history_informed,180,0.9,true,absolute_coverage_error,"origin-within-session, session-within-user, equal-user mean",3,20260722;20260723;20260724,0.0347135305404663,0.0340762376785278,0.0350295543670654,18,234,1523,False
0.22.0,held_sport,indoor_virtual_cycling,evaluation,interval,history_quantile_tcn,0.12.0,,held_sport,joint_user_sport__indoor_virtual_cycling,history_informed,180,0.9,true,conformal_adjustment_bpm,"origin-within-session, session-within-user, equal-user mean",3,20260722;20260723;20260724,0.0,0.0,0.099822998046875,18,234,1523,False
0.22.0,held_sport,indoor_virtual_cycling,evaluation,interval,history_quantile_tcn,0.12.0,,held_sport,joint_user_sport__indoor_virtual_cycling,history_informed,180,0.9,true,mean_interval_width_bpm,"origin-within-session, session-within-user, equal-user mean",3,20260722;20260723;20260724,37.61516571044922,36.25298309326172,39.01057434082031,18,234,1523,False
0.22.0,held_sport,indoor_virtual_cycling,evaluation,interval,history_quantile_tcn,0.12.0,,held_sport,joint_user_sport__indoor_virtual_cycling,history_informed,180,0.9,true,picp,"origin-within-session, session-within-user, equal-user mean",3,20260722;20260723;20260724,0.8652864694595337,0.8649704456329346,0.8659237623214722,18,234,1523,False
