aggregation_version,seed,main_experiment,comparator_experiment,comparator_model,regime,horizon_seconds,main_mode,main_mae_bpm,comparator_mae_bpm,main_minus_comparator_mae_bpm,users,sessions,origins,difference_direction,seed_inferential_test
0.22.0,20260724,unseen_main,unseen_tcn,tcn,goldencheetah_external__outdoor_cycling,60,zero_history,7.667156219482422,7.746150970458984,-0.0789947509765625,143,25757,470820,negative favors main zero-history model,False
0.22.0,20260724,unseen_main,unseen_tcn,tcn,goldencheetah_external__outdoor_cycling,180,zero_history,10.513540267944336,10.558757781982422,-0.04521751403808594,143,25757,470820,negative favors main zero-history model,False
0.22.0,20260724,unseen_main,unseen_tcn,tcn,goldencheetah_external__outdoor_cycling,300,zero_history,11.54173183441162,11.62845516204834,-0.08672332763672053,143,25757,470820,negative favors main zero-history model,False
0.22.0,20260724,unseen_main,unseen_tcn,tcn,goldencheetah_external__running,60,zero_history,5.712589263916016,5.730733871459961,-0.018144607543945312,50,3819,34670,negative favors main zero-history model,False
0.22.0,20260724,unseen_main,unseen_tcn,tcn,goldencheetah_external__running,180,zero_history,7.69429874420166,7.587071418762207,0.10722732543945312,50,3819,34670,negative favors main zero-history model,False
0.22.0,20260724,unseen_main,unseen_tcn,tcn,goldencheetah_external__running,300,zero_history,8.64622974395752,8.612839698791504,0.033390045166015625,50,3819,34670,negative favors main zero-history model,False
0.22.0,20260724,unseen_main,unseen_tcn,tcn,goldencheetah_frozen_external,60,zero_history,7.426656246185303,7.505107402801514,-0.07845115661621094,144,31851,531725,negative favors main zero-history model,False
0.22.0,20260724,unseen_main,unseen_tcn,tcn,goldencheetah_frozen_external,180,zero_history,10.197721481323242,10.228565216064451,-0.03084373474120916,144,31851,531725,negative favors main zero-history model,False
0.22.0,20260724,unseen_main,unseen_tcn,tcn,goldencheetah_frozen_external,300,zero_history,11.19109058380127,11.276585578918455,-0.08549499511718572,144,31851,531725,negative favors main zero-history model,False
0.22.0,20260724,unseen_main,unseen_tcn,tcn,unseen_user_test,60,zero_history,5.91007137298584,5.896884441375732,0.013186931610107422,105,15026,101184,negative favors main zero-history model,False
0.22.0,20260724,unseen_main,unseen_tcn,tcn,unseen_user_test,180,zero_history,7.513736248016357,7.453430652618408,0.06030559539794922,105,15026,101184,negative favors main zero-history model,False
0.22.0,20260724,unseen_main,unseen_tcn,tcn,unseen_user_test,300,zero_history,8.336525917053223,8.256620407104492,0.07990550994873047,105,15026,101184,negative favors main zero-history model,False
0.22.0,20260724,unseen_main,unseen_tcn,tcn,unseen_user_validation,60,zero_history,6.260177612304688,6.2762770652771,-0.01609945297241122,127,19062,123370,negative favors main zero-history model,False
0.22.0,20260724,unseen_main,unseen_tcn,tcn,unseen_user_validation,180,zero_history,7.813675880432129,7.813872814178467,-0.00019693374633789062,127,19062,123370,negative favors main zero-history model,False
0.22.0,20260724,unseen_main,unseen_tcn,tcn,unseen_user_validation,300,zero_history,8.348260879516602,8.31740951538086,0.030851364135742188,127,19062,123370,negative favors main zero-history model,False
0.22.0,20260722,temporal_main,temporal_gru,gru,within_user_temporal_test,60,zero_history,6.05565357208252,6.081608772277832,-0.025955200195311612,948,16012,104144,negative favors main zero-history model,False
0.22.0,20260722,temporal_main,temporal_gru,gru,within_user_temporal_test,180,zero_history,7.64992618560791,7.580774307250977,0.0691518783569336,948,16012,104144,negative favors main zero-history model,False
0.22.0,20260722,temporal_main,temporal_gru,gru,within_user_temporal_test,300,zero_history,8.365702629089355,8.299965858459473,0.06573677062988281,948,16012,104144,negative favors main zero-history model,False
