aggregation_version,seed,experiment,family,phase,source_kind,model,source_model_version,source_analysis_version,protocol,regime,mode,horizon_seconds,nominal_coverage,calibrated,metric,value,users,sessions,origins,aggregation,source_file,source_sha256
0.22.0,20260722,held_sport,indoor_virtual_cycling,evaluation,interval,history_quantile_tcn,0.12.0,,held_sport,joint_user_sport__indoor_virtual_cycling,history_informed,60,0.9,true,picp,0.9110262393951416,18,234,1523,"origin-within-session, session-within-user, equal-user mean",seed_20260722/held_sport/indoor_virtual_cycling/interval_metrics.csv,afdb70f478d4eea39633d92a969fcd6d17729114d1bc26093cacff439836afec
0.22.0,20260722,held_sport,indoor_virtual_cycling,evaluation,interval,history_quantile_tcn,0.12.0,,held_sport,joint_user_sport__indoor_virtual_cycling,history_informed,180,0.5,false,absolute_coverage_error,0.0608230829238891,18,234,1523,"origin-within-session, session-within-user, equal-user mean",seed_20260722/held_sport/indoor_virtual_cycling/interval_metrics.csv,afdb70f478d4eea39633d92a969fcd6d17729114d1bc26093cacff439836afec
0.22.0,20260722,held_sport,indoor_virtual_cycling,evaluation,interval,history_quantile_tcn,0.12.0,,held_sport,joint_user_sport__indoor_virtual_cycling,history_informed,180,0.5,false,conformal_adjustment_bpm,0.0,18,234,1523,"origin-within-session, session-within-user, equal-user mean",seed_20260722/held_sport/indoor_virtual_cycling/interval_metrics.csv,afdb70f478d4eea39633d92a969fcd6d17729114d1bc26093cacff439836afec
0.22.0,20260722,held_sport,indoor_virtual_cycling,evaluation,interval,history_quantile_tcn,0.12.0,,held_sport,joint_user_sport__indoor_virtual_cycling,history_informed,180,0.5,false,mean_interval_width_bpm,13.70578384399414,18,234,1523,"origin-within-session, session-within-user, equal-user mean",seed_20260722/held_sport/indoor_virtual_cycling/interval_metrics.csv,afdb70f478d4eea39633d92a969fcd6d17729114d1bc26093cacff439836afec
0.22.0,20260722,held_sport,indoor_virtual_cycling,evaluation,interval,history_quantile_tcn,0.12.0,,held_sport,joint_user_sport__indoor_virtual_cycling,history_informed,180,0.5,false,picp,0.5608230829238892,18,234,1523,"origin-within-session, session-within-user, equal-user mean",seed_20260722/held_sport/indoor_virtual_cycling/interval_metrics.csv,afdb70f478d4eea39633d92a969fcd6d17729114d1bc26093cacff439836afec
0.22.0,20260722,held_sport,indoor_virtual_cycling,evaluation,interval,history_quantile_tcn,0.12.0,,held_sport,joint_user_sport__indoor_virtual_cycling,history_informed,180,0.5,true,absolute_coverage_error,0.0608230829238891,18,234,1523,"origin-within-session, session-within-user, equal-user mean",seed_20260722/held_sport/indoor_virtual_cycling/interval_metrics.csv,afdb70f478d4eea39633d92a969fcd6d17729114d1bc26093cacff439836afec
0.22.0,20260722,held_sport,indoor_virtual_cycling,evaluation,interval,history_quantile_tcn,0.12.0,,held_sport,joint_user_sport__indoor_virtual_cycling,history_informed,180,0.5,true,conformal_adjustment_bpm,0.0,18,234,1523,"origin-within-session, session-within-user, equal-user mean",seed_20260722/held_sport/indoor_virtual_cycling/interval_metrics.csv,afdb70f478d4eea39633d92a969fcd6d17729114d1bc26093cacff439836afec
0.22.0,20260722,held_sport,indoor_virtual_cycling,evaluation,interval,history_quantile_tcn,0.12.0,,held_sport,joint_user_sport__indoor_virtual_cycling,history_informed,180,0.5,true,mean_interval_width_bpm,13.70578384399414,18,234,1523,"origin-within-session, session-within-user, equal-user mean",seed_20260722/held_sport/indoor_virtual_cycling/interval_metrics.csv,afdb70f478d4eea39633d92a969fcd6d17729114d1bc26093cacff439836afec
0.22.0,20260722,held_sport,indoor_virtual_cycling,evaluation,interval,history_quantile_tcn,0.12.0,,held_sport,joint_user_sport__indoor_virtual_cycling,history_informed,180,0.5,true,picp,0.5608230829238892,18,234,1523,"origin-within-session, session-within-user, equal-user mean",seed_20260722/held_sport/indoor_virtual_cycling/interval_metrics.csv,afdb70f478d4eea39633d92a969fcd6d17729114d1bc26093cacff439836afec
0.22.0,20260722,held_sport,indoor_virtual_cycling,evaluation,interval,history_quantile_tcn,0.12.0,,held_sport,joint_user_sport__indoor_virtual_cycling,history_informed,180,0.8,false,absolute_coverage_error,0.0250049114227295,18,234,1523,"origin-within-session, session-within-user, equal-user mean",seed_20260722/held_sport/indoor_virtual_cycling/interval_metrics.csv,afdb70f478d4eea39633d92a969fcd6d17729114d1bc26093cacff439836afec
0.22.0,20260722,held_sport,indoor_virtual_cycling,evaluation,interval,history_quantile_tcn,0.12.0,,held_sport,joint_user_sport__indoor_virtual_cycling,history_informed,180,0.8,false,conformal_adjustment_bpm,0.0,18,234,1523,"origin-within-session, session-within-user, equal-user mean",seed_20260722/held_sport/indoor_virtual_cycling/interval_metrics.csv,afdb70f478d4eea39633d92a969fcd6d17729114d1bc26093cacff439836afec
0.22.0,20260722,held_sport,indoor_virtual_cycling,evaluation,interval,history_quantile_tcn,0.12.0,,held_sport,joint_user_sport__indoor_virtual_cycling,history_informed,180,0.8,false,mean_interval_width_bpm,27.300968170166016,18,234,1523,"origin-within-session, session-within-user, equal-user mean",seed_20260722/held_sport/indoor_virtual_cycling/interval_metrics.csv,afdb70f478d4eea39633d92a969fcd6d17729114d1bc26093cacff439836afec
0.22.0,20260722,held_sport,indoor_virtual_cycling,evaluation,interval,history_quantile_tcn,0.12.0,,held_sport,joint_user_sport__indoor_virtual_cycling,history_informed,180,0.8,false,picp,0.7749950885772705,18,234,1523,"origin-within-session, session-within-user, equal-user mean",seed_20260722/held_sport/indoor_virtual_cycling/interval_metrics.csv,afdb70f478d4eea39633d92a969fcd6d17729114d1bc26093cacff439836afec
0.22.0,20260722,held_sport,indoor_virtual_cycling,evaluation,interval,history_quantile_tcn,0.12.0,,held_sport,joint_user_sport__indoor_virtual_cycling,history_informed,180,0.8,true,absolute_coverage_error,0.0248410582542419,18,234,1523,"origin-within-session, session-within-user, equal-user mean",seed_20260722/held_sport/indoor_virtual_cycling/interval_metrics.csv,afdb70f478d4eea39633d92a969fcd6d17729114d1bc26093cacff439836afec
0.22.0,20260722,held_sport,indoor_virtual_cycling,evaluation,interval,history_quantile_tcn,0.12.0,,held_sport,joint_user_sport__indoor_virtual_cycling,history_informed,180,0.8,true,conformal_adjustment_bpm,0.02734375,18,234,1523,"origin-within-session, session-within-user, equal-user mean",seed_20260722/held_sport/indoor_virtual_cycling/interval_metrics.csv,afdb70f478d4eea39633d92a969fcd6d17729114d1bc26093cacff439836afec
0.22.0,20260722,held_sport,indoor_virtual_cycling,evaluation,interval,history_quantile_tcn,0.12.0,,held_sport,joint_user_sport__indoor_virtual_cycling,history_informed,180,0.8,true,mean_interval_width_bpm,27.355655670166016,18,234,1523,"origin-within-session, session-within-user, equal-user mean",seed_20260722/held_sport/indoor_virtual_cycling/interval_metrics.csv,afdb70f478d4eea39633d92a969fcd6d17729114d1bc26093cacff439836afec
