aggregation_version,seed,experiment,family,phase,regime,horizon_seconds,history_informed_mae_bpm,zero_history_mae_bpm,history_minus_zero_mae_bpm,users,sessions,origins,difference_direction,seed_inferential_test
0.22.0,20260723,held_sport,outdoor_cycling,evaluation,joint_user_sport__outdoor_cycling,60,8.127265930175781,8.103433609008789,0.023832321166992188,77,6097,37856,negative favors history-informed,False
0.22.0,20260723,held_sport,outdoor_cycling,evaluation,joint_user_sport__outdoor_cycling,180,9.90025234222412,9.865435600280762,0.0348167419433576,77,6097,37856,negative favors history-informed,False
0.22.0,20260723,held_sport,outdoor_cycling,evaluation,joint_user_sport__outdoor_cycling,300,10.90164279937744,10.933143615722656,-0.03150081634521662,77,6097,37856,negative favors history-informed,False
0.22.0,20260723,held_sport,outdoor_cycling,evaluation,unseen_sport__outdoor_cycling,60,8.055103302001953,8.050267219543457,0.004836082458496094,452,40943,236748,negative favors history-informed,False
0.22.0,20260723,held_sport,outdoor_cycling,evaluation,unseen_sport__outdoor_cycling,180,9.686504364013672,9.709138870239258,-0.022634506225585938,452,40943,236748,negative favors history-informed,False
0.22.0,20260723,held_sport,outdoor_cycling,evaluation,unseen_sport__outdoor_cycling,300,10.39943504333496,10.478774070739746,-0.07933902740478693,452,40943,236748,negative favors history-informed,False
0.22.0,20260723,held_sport,running,evaluation,joint_user_sport__running,60,5.154756546020508,5.10399341583252,0.05076313018798739,88,8431,60542,negative favors history-informed,False
0.22.0,20260723,held_sport,running,evaluation,joint_user_sport__running,180,6.583225727081299,6.529829502105713,0.05339622497558594,88,8431,60542,negative favors history-informed,False
0.22.0,20260723,held_sport,running,evaluation,joint_user_sport__running,300,7.336716175079346,7.256465435028076,0.08025074005126953,88,8431,60542,negative favors history-informed,False
0.22.0,20260723,held_sport,running,evaluation,unseen_sport__running,60,5.26388692855835,5.230040073394775,0.03384685516357422,448,44652,308648,negative favors history-informed,False
0.22.0,20260723,held_sport,running,evaluation,unseen_sport__running,180,6.840531826019287,6.830723285675049,0.009808540344238281,448,44652,308648,negative favors history-informed,False
0.22.0,20260723,held_sport,running,evaluation,unseen_sport__running,300,7.584736347198486,7.542129516601562,0.042606830596924716,448,44652,308648,negative favors history-informed,False
0.22.0,20260723,held_sport,strength_cross_training,evaluation,joint_user_sport__strength_cross_training,60,9.295921325683594,9.454957962036133,-0.15903663635253906,20,112,503,negative favors history-informed,False
0.22.0,20260723,held_sport,strength_cross_training,evaluation,joint_user_sport__strength_cross_training,180,11.96402072906494,12.35742473602295,-0.3934040069580096,20,112,503,negative favors history-informed,False
0.22.0,20260723,held_sport,strength_cross_training,evaluation,joint_user_sport__strength_cross_training,300,11.977876663208008,12.211858749389648,-0.23398208618164062,20,112,503,negative favors history-informed,False
0.22.0,20260723,held_sport,strength_cross_training,evaluation,unseen_sport__strength_cross_training,60,9.244009971618652,9.263948440551758,-0.01993846893310547,106,587,3189,negative favors history-informed,False
0.22.0,20260723,held_sport,strength_cross_training,evaluation,unseen_sport__strength_cross_training,180,10.49388599395752,10.561153411865234,-0.06726741790771484,106,587,3189,negative favors history-informed,False
0.22.0,20260723,held_sport,strength_cross_training,evaluation,unseen_sport__strength_cross_training,300,12.006786346435549,12.113240242004396,-0.10645389556884766,106,587,3189,negative favors history-informed,False
0.22.0,20260723,held_sport,walking_hiking,evaluation,joint_user_sport__walking_hiking,60,6.5010294914245605,6.524622917175293,-0.023593425750732422,19,96,428,negative favors history-informed,False
0.22.0,20260723,held_sport,walking_hiking,evaluation,joint_user_sport__walking_hiking,180,7.11703634262085,7.40289306640625,-0.2858567237854004,19,96,428,negative favors history-informed,False
0.22.0,20260723,held_sport,walking_hiking,evaluation,joint_user_sport__walking_hiking,300,8.842240333557129,9.21511173248291,-0.37287139892578125,19,96,428,negative favors history-informed,False
0.22.0,20260723,held_sport,walking_hiking,evaluation,unseen_sport__walking_hiking,60,5.602084636688232,5.69562578201294,-0.09354114532470792,144,2063,10149,negative favors history-informed,False
0.22.0,20260723,held_sport,walking_hiking,evaluation,unseen_sport__walking_hiking,180,7.778849124908447,7.974648475646973,-0.1957993507385254,144,2063,10149,negative favors history-informed,False
0.22.0,20260723,held_sport,walking_hiking,evaluation,unseen_sport__walking_hiking,300,8.68795108795166,8.883514404296875,-0.19556331634521484,144,2063,10149,negative favors history-informed,False
0.22.0,20260723,temporal_main,,evaluation,within_user_temporal_test,60,6.0118279457092285,6.070176601409912,-0.058348655700683594,948,16012,104144,negative favors history-informed,False
0.22.0,20260723,temporal_main,,evaluation,within_user_temporal_test,180,7.547680377960205,7.655842304229736,-0.10816192626953125,948,16012,104144,negative favors history-informed,False
0.22.0,20260723,temporal_main,,evaluation,within_user_temporal_test,300,8.239315032958984,8.35843563079834,-0.11912059783935547,948,16012,104144,negative favors history-informed,False
0.22.0,20260723,unseen_main,,development,unseen_user_test,60,5.857324600219727,5.898017883300781,-0.04069328308105469,105,15026,101184,negative favors history-informed,False
0.22.0,20260723,unseen_main,,development,unseen_user_test,180,7.3938140869140625,7.474909782409668,-0.08109569549560547,105,15026,101184,negative favors history-informed,False
0.22.0,20260723,unseen_main,,development,unseen_user_test,300,8.156569480895996,8.303367614746094,-0.14679813385009766,105,15026,101184,negative favors history-informed,False
0.22.0,20260723,unseen_main,,development,unseen_user_validation,60,6.201185703277588,6.244334220886231,-0.043148517608643466,127,19062,123370,negative favors history-informed,False
0.22.0,20260723,unseen_main,,development,unseen_user_validation,180,7.769833564758301,7.854025363922119,-0.08419179916381836,127,19062,123370,negative favors history-informed,False
0.22.0,20260723,unseen_main,,development,unseen_user_validation,300,8.242945671081543,8.340431213378906,-0.09748554229736328,127,19062,123370,negative favors history-informed,False
0.22.0,20260724,held_sport,indoor_virtual_cycling,evaluation,joint_user_sport__indoor_virtual_cycling,60,5.918801784515381,5.848422527313232,0.07037925720214844,18,234,1523,negative favors history-informed,False
0.22.0,20260724,held_sport,indoor_virtual_cycling,evaluation,joint_user_sport__indoor_virtual_cycling,180,7.943546772003174,7.825667381286621,0.11787939071655273,18,234,1523,negative favors history-informed,False
0.22.0,20260724,held_sport,indoor_virtual_cycling,evaluation,joint_user_sport__indoor_virtual_cycling,300,11.098682403564451,11.465617179870604,-0.36693477630615234,18,234,1523,negative favors history-informed,False
0.22.0,20260724,held_sport,indoor_virtual_cycling,evaluation,unseen_sport__indoor_virtual_cycling,60,6.113548278808594,6.070065975189209,0.043482303619384766,118,1571,11591,negative favors history-informed,False
0.22.0,20260724,held_sport,indoor_virtual_cycling,evaluation,unseen_sport__indoor_virtual_cycling,180,8.570405006408691,8.418294906616211,0.15211009979248047,118,1571,11591,negative favors history-informed,False
0.22.0,20260724,held_sport,indoor_virtual_cycling,evaluation,unseen_sport__indoor_virtual_cycling,300,8.960474014282227,8.894430160522461,0.06604385375976562,118,1571,11591,negative favors history-informed,False
0.22.0,20260724,held_sport,outdoor_cycling,evaluation,joint_user_sport__outdoor_cycling,60,8.149386405944824,8.121639251708984,0.027747154235839844,77,6097,37856,negative favors history-informed,False
0.22.0,20260724,held_sport,outdoor_cycling,evaluation,joint_user_sport__outdoor_cycling,180,9.947577476501465,9.940906524658203,0.006670951843261719,77,6097,37856,negative favors history-informed,False
0.22.0,20260724,held_sport,outdoor_cycling,evaluation,joint_user_sport__outdoor_cycling,300,10.879020690917969,10.901114463806152,-0.022093772888183594,77,6097,37856,negative favors history-informed,False
0.22.0,20260724,held_sport,outdoor_cycling,evaluation,unseen_sport__outdoor_cycling,60,8.145715713500977,8.10416030883789,0.04155540466308594,452,40943,236748,negative favors history-informed,False
0.22.0,20260724,held_sport,outdoor_cycling,evaluation,unseen_sport__outdoor_cycling,180,9.7996187210083,9.778780937194824,0.020837783813476562,452,40943,236748,negative favors history-informed,False
0.22.0,20260724,held_sport,outdoor_cycling,evaluation,unseen_sport__outdoor_cycling,300,10.540019989013672,10.563504219055176,-0.023484230041503906,452,40943,236748,negative favors history-informed,False
