model_version,regime,mode,horizon_seconds,nominal_coverage,calibrated,picp,absolute_coverage_error,mean_interval_width_bpm,conformal_adjustment_bpm,users,sessions,origins
0.11.0,goldencheetah_frozen_external,zero_history,180,0.5,False,0.45856040716171265,0.041439592838287354,14.469905853271484,0.0,144,31851,531725
0.11.0,goldencheetah_frozen_external,zero_history,300,0.5,False,0.4526456296443939,0.04735437035560608,15.643840789794922,0.0,144,31851,531725
0.11.0,goldencheetah_frozen_external,zero_history,60,0.5,True,0.48315027356147766,0.01684972643852234,11.340700149536133,0.048828125,144,31851,531725
0.11.0,goldencheetah_frozen_external,zero_history,180,0.5,True,0.45856040716171265,0.041439592838287354,14.469905853271484,0.0,144,31851,531725
0.11.0,goldencheetah_frozen_external,zero_history,300,0.5,True,0.4526456296443939,0.04735437035560608,15.643840789794922,0.0,144,31851,531725
0.11.0,goldencheetah_frozen_external,zero_history,60,0.8,False,0.7773693799972534,0.022630620002746626,22.07890510559082,0.0,144,31851,531725
0.11.0,goldencheetah_frozen_external,zero_history,180,0.8,False,0.7521753311157227,0.04782466888427739,28.364194869995117,0.0,144,31851,531725
0.11.0,goldencheetah_frozen_external,zero_history,300,0.8,False,0.744049608707428,0.055950391292572066,30.868234634399414,0.0,144,31851,531725
0.11.0,goldencheetah_frozen_external,zero_history,60,0.8,True,0.7806271314620972,0.019372868537902876,22.214820861816406,0.067962646484375,144,31851,531725
0.11.0,goldencheetah_frozen_external,zero_history,180,0.8,True,0.7521753311157227,0.04782466888427739,28.364194869995117,0.0,144,31851,531725
0.11.0,goldencheetah_frozen_external,zero_history,300,0.8,True,0.744049608707428,0.055950391292572066,30.868234634399414,0.0,144,31851,531725
0.11.0,goldencheetah_frozen_external,zero_history,60,0.9,False,0.8789446949958801,0.021055305004119895,29.367876052856445,0.0,144,31851,531725
0.11.0,goldencheetah_frozen_external,zero_history,180,0.9,False,0.8621327877044678,0.03786721229553225,37.77621841430664,0.0,144,31851,531725
0.11.0,goldencheetah_frozen_external,zero_history,300,0.9,False,0.8547017574310303,0.04529824256896975,41.15608215332031,0.0,144,31851,531725
0.11.0,goldencheetah_frozen_external,zero_history,60,0.9,True,0.8821389675140381,0.017861032485961936,29.633480072021484,0.1328125,144,31851,531725
0.11.0,goldencheetah_frozen_external,zero_history,180,0.9,True,0.8621327877044678,0.03786721229553225,37.77621841430664,0.0,144,31851,531725
0.11.0,goldencheetah_frozen_external,zero_history,300,0.9,True,0.8547017574310303,0.04529824256896975,41.15608215332031,0.0,144,31851,531725
0.11.0,goldencheetah_external__outdoor_cycling,zero_history,60,0.5,False,0.48474398255348206,0.015256017446517944,11.769309043884277,0.0,143,25757,470820
0.11.0,goldencheetah_external__outdoor_cycling,zero_history,180,0.5,False,0.46276652812957764,0.03723347187042236,15.10348129272461,0.0,143,25757,470820
0.11.0,goldencheetah_external__outdoor_cycling,zero_history,300,0.5,False,0.4563140869140625,0.0436859130859375,16.339643478393555,0.0,143,25757,470820
0.11.0,goldencheetah_external__outdoor_cycling,zero_history,60,0.5,True,0.48907577991485596,0.010924220085144043,11.866964340209961,0.048828125,143,25757,470820
0.11.0,goldencheetah_external__outdoor_cycling,zero_history,180,0.5,True,0.46276652812957764,0.03723347187042236,15.10348129272461,0.0,143,25757,470820
0.11.0,goldencheetah_external__outdoor_cycling,zero_history,300,0.5,True,0.4563140869140625,0.0436859130859375,16.339643478393555,0.0,143,25757,470820
0.11.0,goldencheetah_external__outdoor_cycling,zero_history,60,0.8,False,0.7828071713447571,0.017192828655242964,23.107524871826172,0.0,143,25757,470820
0.11.0,goldencheetah_external__outdoor_cycling,zero_history,180,0.8,False,0.7553158402442932,0.04468415975570683,29.645801544189453,0.0,143,25757,470820
0.11.0,goldencheetah_external__outdoor_cycling,zero_history,300,0.8,False,0.7463383078575134,0.05366169214248662,32.2606315612793,0.0,143,25757,470820
0.11.0,goldencheetah_external__outdoor_cycling,zero_history,60,0.8,True,0.7858655452728271,0.014134454727172896,23.24344253540039,0.067962646484375,143,25757,470820
0.11.0,goldencheetah_external__outdoor_cycling,zero_history,180,0.8,True,0.7553158402442932,0.04468415975570683,29.645801544189453,0.0,143,25757,470820
0.11.0,goldencheetah_external__outdoor_cycling,zero_history,300,0.8,True,0.7463383078575134,0.05366169214248662,32.2606315612793,0.0,143,25757,470820
0.11.0,goldencheetah_external__outdoor_cycling,zero_history,60,0.9,False,0.8843868374824524,0.01561316251754763,30.720115661621094,0.0,143,25757,470820
0.11.0,goldencheetah_external__outdoor_cycling,zero_history,180,0.9,False,0.8655037879943848,0.03449621200561526,39.45890808105469,0.0,143,25757,470820
0.11.0,goldencheetah_external__outdoor_cycling,zero_history,300,0.9,False,0.8569954037666321,0.04300459623336794,42.934226989746094,0.0,143,25757,470820
0.11.0,goldencheetah_external__outdoor_cycling,zero_history,60,0.9,True,0.8873293399810791,0.01267066001892092,30.9857234954834,0.1328125,143,25757,470820
0.11.0,goldencheetah_external__outdoor_cycling,zero_history,180,0.9,True,0.8655037879943848,0.03449621200561526,39.45890808105469,0.0,143,25757,470820
0.11.0,goldencheetah_external__outdoor_cycling,zero_history,300,0.9,True,0.8569954037666321,0.04300459623336794,42.934226989746094,0.0,143,25757,470820
0.11.0,goldencheetah_external__indoor_virtual_cycling,zero_history,60,0.5,False,0.4220549464225769,0.0779450535774231,7.572288513183594,0.0,41,2275,26235
0.11.0,goldencheetah_external__indoor_virtual_cycling,zero_history,180,0.5,False,0.42634791135787964,0.07365208864212036,10.857816696166992,0.0,41,2275,26235
0.11.0,goldencheetah_external__indoor_virtual_cycling,zero_history,300,0.5,False,0.3884187638759613,0.1115812361240387,12.051243782043457,0.0,41,2275,26235
0.11.0,goldencheetah_external__indoor_virtual_cycling,zero_history,60,0.5,True,0.42626479268074036,0.07373520731925964,7.669944763183594,0.048828125,41,2275,26235
0.11.0,goldencheetah_external__indoor_virtual_cycling,zero_history,180,0.5,True,0.42634791135787964,0.07365208864212036,10.857816696166992,0.0,41,2275,26235
0.11.0,goldencheetah_external__indoor_virtual_cycling,zero_history,300,0.5,True,0.3884187638759613,0.1115812361240387,12.051243782043457,0.0,41,2275,26235
0.11.0,goldencheetah_external__indoor_virtual_cycling,zero_history,60,0.8,False,0.7224798202514648,0.0775201797485352,15.385181427001953,0.0,41,2275,26235
0.11.0,goldencheetah_external__indoor_virtual_cycling,zero_history,180,0.8,False,0.7109284996986389,0.08907150030136113,21.46804428100586,0.0,41,2275,26235
0.11.0,goldencheetah_external__indoor_virtual_cycling,zero_history,300,0.8,False,0.6678588390350342,0.13214116096496586,23.892263412475586,0.0,41,2275,26235
0.11.0,goldencheetah_external__indoor_virtual_cycling,zero_history,60,0.8,True,0.7267471551895142,0.07325284481048588,15.521106719970703,0.067962646484375,41,2275,26235
0.11.0,goldencheetah_external__indoor_virtual_cycling,zero_history,180,0.8,True,0.7109284996986389,0.08907150030136113,21.46804428100586,0.0,41,2275,26235
0.11.0,goldencheetah_external__indoor_virtual_cycling,zero_history,300,0.8,True,0.6678588390350342,0.13214116096496586,23.892263412475586,0.0,41,2275,26235
0.11.0,goldencheetah_external__indoor_virtual_cycling,zero_history,60,0.9,False,0.8364428281784058,0.06355717182159426,20.905986785888672,0.0,41,2275,26235
0.11.0,goldencheetah_external__indoor_virtual_cycling,zero_history,180,0.9,False,0.82004714012146,0.07995285987854006,28.967931747436523,0.0,41,2275,26235
0.11.0,goldencheetah_external__indoor_virtual_cycling,zero_history,300,0.9,False,0.7922612428665161,0.10773875713348391,32.33171844482422,0.0,41,2275,26235
0.11.0,goldencheetah_external__indoor_virtual_cycling,zero_history,60,0.9,True,0.8411979675292969,0.05880203247070315,21.171611785888672,0.1328125,41,2275,26235
0.11.0,goldencheetah_external__indoor_virtual_cycling,zero_history,180,0.9,True,0.82004714012146,0.07995285987854006,28.967931747436523,0.0,41,2275,26235
0.11.0,goldencheetah_external__indoor_virtual_cycling,zero_history,300,0.9,True,0.7922612428665161,0.10773875713348391,32.33171844482422,0.0,41,2275,26235
0.11.0,goldencheetah_external__running,zero_history,60,0.5,False,0.4671659469604492,0.03283405303955078,7.892358779907227,0.0,50,3819,34670
0.11.0,goldencheetah_external__running,zero_history,180,0.5,False,0.4578651487827301,0.0421348512172699,10.328505516052246,0.0,50,3819,34670
0.11.0,goldencheetah_external__running,zero_history,300,0.5,False,0.45880812406539917,0.04119187593460083,11.195509910583496,0.0,50,3819,34670
0.11.0,goldencheetah_external__running,zero_history,60,0.5,True,0.4726254343986511,0.027374565601348877,7.989950656890869,0.048828125,50,3819,34670
0.11.0,goldencheetah_external__running,zero_history,180,0.5,True,0.4578651487827301,0.0421348512172699,10.328505516052246,0.0,50,3819,34670
0.11.0,goldencheetah_external__running,zero_history,300,0.5,True,0.45880812406539917,0.04119187593460083,11.195509910583496,0.0,50,3819,34670
0.11.0,goldencheetah_external__running,zero_history,60,0.8,False,0.768628716468811,0.03137128353118901,15.726710319519043,0.0,50,3819,34670
0.11.0,goldencheetah_external__running,zero_history,180,0.8,False,0.7654587626457214,0.03454123735427861,20.37592124938965,0.0,50,3819,34670
0.11.0,goldencheetah_external__running,zero_history,300,0.8,False,0.7348698377609253,0.06513016223907475,22.387685775756836,0.0,50,3819,34670
0.11.0,goldencheetah_external__running,zero_history,60,0.8,True,0.7715069651603699,0.02849303483963017,15.862545013427734,0.067962646484375,50,3819,34670
0.11.0,goldencheetah_external__running,zero_history,180,0.8,True,0.7654587626457214,0.03454123735427861,20.37592124938965,0.0,50,3819,34670
0.11.0,goldencheetah_external__running,zero_history,300,0.8,True,0.7348698377609253,0.06513016223907475,22.387685775756836,0.0,50,3819,34670
0.11.0,goldencheetah_external__running,zero_history,60,0.9,False,0.8867896199226379,0.013210380077362083,21.21422576904297,0.0,50,3819,34670
0.11.0,goldencheetah_external__running,zero_history,180,0.9,False,0.8642266988754272,0.035773301124572776,27.670978546142578,0.0,50,3819,34670
0.11.0,goldencheetah_external__running,zero_history,300,0.9,False,0.854411244392395,0.045588755607605,30.74285125732422,0.0,50,3819,34670
0.11.0,goldencheetah_external__running,zero_history,60,0.9,True,0.8905519843101501,0.009448015689849876,21.479673385620117,0.1328125,50,3819,34670
0.11.0,goldencheetah_external__running,zero_history,180,0.9,True,0.8642266988754272,0.035773301124572776,27.670978546142578,0.0,50,3819,34670
0.11.0,goldencheetah_external__running,zero_history,300,0.9,True,0.854411244392395,0.045588755607605,30.74285125732422,0.0,50,3819,34670
