model_version,regime,mode,horizon_seconds,calibrated,pinball_loss,weighted_interval_score,normalized_90_interval_width,mean_user_spearman_width_absolute_error,users_with_defined_spearman,users,sessions,origins
0.11.0,goldencheetah_frozen_external,zero_history,60,True,2.2273130416870117,4.453206539154053,0.2255038470029831,0.3874944043012414,144,144,31851,531725
0.11.0,goldencheetah_frozen_external,zero_history,180,True,3.040945291519165,6.08189058303833,0.2835022807121277,0.33241539334343073,144,144,31851,531725
0.11.0,goldencheetah_frozen_external,zero_history,300,True,3.360602855682373,6.721205234527588,0.30869734287261963,0.2893162089750851,144,144,31851,531725
0.11.0,goldencheetah_external__outdoor_cycling,zero_history,60,False,2.290245532989502,4.580491065979004,0.23623397946357727,0.37804573945718023,143,143,25757,470820
0.11.0,goldencheetah_external__outdoor_cycling,zero_history,180,False,3.1292994022369385,6.258598804473877,0.29939696192741394,0.31887069893051156,143,143,25757,470820
0.11.0,goldencheetah_external__outdoor_cycling,zero_history,300,False,3.457157611846924,6.914315223693848,0.32584062218666077,0.27109280749691295,143,143,25757,470820
0.11.0,goldencheetah_external__outdoor_cycling,zero_history,60,True,2.290245532989502,4.579463481903076,0.23824582993984222,0.37804564922905615,143,143,25757,470820
0.11.0,goldencheetah_external__outdoor_cycling,zero_history,180,True,3.1292994022369385,6.258598804473877,0.29939696192741394,0.31887069893051156,143,143,25757,470820
0.11.0,goldencheetah_external__outdoor_cycling,zero_history,300,True,3.457157611846924,6.914315223693848,0.32584062218666077,0.27109280749691295,143,143,25757,470820
0.11.0,goldencheetah_external__indoor_virtual_cycling,zero_history,60,False,1.968964695930481,3.937929391860962,0.15426340699195862,0.35497428709873974,41,41,2275,26235
0.11.0,goldencheetah_external__indoor_virtual_cycling,zero_history,180,False,2.9218530654907227,5.843706130981445,0.2104586660861969,0.312016983516494,41,41,2275,26235
0.11.0,goldencheetah_external__indoor_virtual_cycling,zero_history,300,False,3.575890064239502,7.151780128479004,0.23442219197750092,0.21093390285565158,41,41,2275,26235
0.11.0,goldencheetah_external__indoor_virtual_cycling,zero_history,60,True,1.968964695930481,3.933084726333618,0.1561950445175171,0.35497428709873974,41,41,2275,26235
