analysis_version,scope,seed,regime,mode,horizon_seconds,nominal_coverage,origin_pooled_adjustment_bpm,balanced_adjustment_bpm,delta_adjustment_bpm,delta_picp,delta_picp_ci_low,delta_picp_ci_high,delta_absolute_coverage_error,delta_absolute_coverage_error_ci_low,delta_absolute_coverage_error_ci_high,delta_mean_interval_width_bpm,delta_mean_interval_width_ci_low_bpm,delta_mean_interval_width_ci_high_bpm,evaluation_users,bootstrap_replicates,bootstrap_unit,calibration_thresholds_fixed,optimization_seed_variability_in_ci
0.24.0,conditional_on_seed,20260723,unseen_user_test,zero_history,180,0.8,0.049713134765625,0.6417388916015625,0.5920257568359375,0.024687195612378865,0.022428780127469627,0.0269443325153065,-0.006702831848151014,-0.024872487365874326,0.015131294364143935,1.182119459145671,1.1786710597680032,1.1839522114266892,105,10000,evaluation user,True,False
0.24.0,conditional_on_seed,20260723,goldencheetah_frozen_external,zero_history,180,0.8,0.049713134765625,0.6417388916015625,0.5920257568359375,0.019914142184933592,0.018845943128693476,0.02103930571810288,-0.019914142184933592,-0.02103930571810288,-0.018845943128693476,1.1840033117005895,1.1839568606559014,1.1840364946858704,144,10000,evaluation user,True,False
0.24.0,conditional_on_seed,20260723,unseen_user_test,zero_history,300,0.8,0.0,0.435546875,0.435546875,0.016290257182999146,0.014772739744210334,0.0177671429434312,-0.016290257182999146,-0.01769443540444584,-0.0017561411139384244,0.8698086109273184,0.8675033197992154,0.8710376573250862,105,10000,evaluation user,True,False
0.24.0,conditional_on_seed,20260723,goldencheetah_frozen_external,zero_history,300,0.8,0.0,0.435546875,0.435546875,0.012451751431740266,0.011747715017574743,0.013154414414515333,-0.012451751431740266,-0.013154414414515333,-0.011747715017574743,0.8710576309648559,0.8710232506464244,0.871082470365877,144,10000,evaluation user,True,False
0.24.0,conditional_on_seed,20260723,unseen_user_test,zero_history,60,0.9,0.040496826171875,0.5859375,0.545440673828125,0.016894048288087382,0.014674257685507907,0.01944642343740444,-0.002356088074762286,-0.01653699846763728,0.012209852422563602,1.0874817133897103,1.0814900522052913,1.0906347758707862,105,10000,evaluation user,True,False
0.24.0,conditional_on_seed,20260723,goldencheetah_frozen_external,zero_history,60,0.9,0.040496826171875,0.5859375,0.545440673828125,0.011237949243510403,0.010549100562594251,0.011951236249990838,-0.011237949243510403,-0.011951236249990838,-0.010548595148836406,1.090789121725809,1.090714994669405,1.0908469614927345,144,10000,evaluation user,True,False
0.24.0,conditional_on_seed,20260723,unseen_user_test,zero_history,180,0.9,0.0625,0.747833251953125,0.685333251953125,0.013623235876636941,0.011801891500349233,0.01580335395419864,-0.01198431422786872,-0.015332360973247614,0.0043478190989376855,1.3663273204562856,1.3588771059813671,1.3703803349095407,105,10000,evaluation user,True,False
0.24.0,conditional_on_seed,20260723,goldencheetah_frozen_external,zero_history,180,0.9,0.0625,0.747833251953125,0.685333251953125,0.013027673365072157,0.011863912703821916,0.014615036638181225,-0.013027673365072157,-0.014615036638181225,-0.011863912703821916,1.370454742605169,1.3701990377653714,1.3706113225994936,144,10000,evaluation user,True,False
0.24.0,conditional_on_seed,20260723,unseen_user_test,zero_history,300,0.9,0.1164703369140625,1.0078125,0.8913421630859375,0.016774940664397664,0.015011900396303096,0.018684981728345384,-0.016774940664397664,-0.01855132164463551,-0.0024397697042393427,1.7772585880700973,1.7678206763571378,1.782311665219409,105,10000,evaluation user,True,False
0.24.0,conditional_on_seed,20260723,goldencheetah_frozen_external,zero_history,300,0.9,0.1164703369140625,1.0078125,0.8913421630859375,0.015561439109328945,0.014561390593891273,0.0166001040661777,-0.015561439109328945,-0.0166001040661777,-0.014561390593891275,1.7823952168742139,1.782044537616054,1.7826046633094805,144,10000,evaluation user,True,False
0.24.0,conditional_on_seed,20260724,unseen_user_test,history_informed,60,0.5,0.0030364990234375,0.0751953125,0.0721588134765625,0.00920389031990504,0.00791902384045719,0.010514181295511526,-0.007932321869128345,-0.010123065050074551,0.009842942735033956,0.14407843964037603,0.14362814105859284,0.1443159041890425,105,10000,evaluation user,True,False
0.24.0,conditional_on_seed,20260724,unseen_user_test,history_informed,180,0.5,0.0,0.0349578857421875,0.0349578857421875,0.003174681333287299,0.002504178955171617,0.0038985596609831916,-0.003174681333287299,-0.0038965935939736214,-0.00239510622886014,0.06976893877085466,0.06948747689871478,0.0699147960969384,105,10000,evaluation user,True,False
0.24.0,conditional_on_seed,20260724,unseen_user_test,history_informed,300,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,105,10000,evaluation user,True,False
0.24.0,conditional_on_seed,20260724,unseen_user_test,history_informed,60,0.8,0.0,0.0813751220703125,0.0813751220703125,0.005154608388595272,0.004313745940911637,0.006077145411770135,-0.005154608388595272,-0.0059974243675823295,0.005177165818228504,0.16211032436566697,0.16094051459299533,0.162734568958622,105,10000,evaluation user,True,False
0.24.0,conditional_on_seed,20260724,unseen_user_test,history_informed,180,0.8,0.0,0.23828125,0.23828125,0.011108034506087772,0.009597869040768151,0.012729831470662617,-0.009774415286486815,-0.012396505302034616,0.01008806142491373,0.47443666692959496,0.4704425867455903,0.4765113958262769,105,10000,evaluation user,True,False
0.24.0,conditional_on_seed,20260724,unseen_user_test,history_informed,300,0.8,0.0,0.21875,0.21875,0.008732567765901034,0.007541738474852164,0.010007224403903772,-0.008732567765901034,-0.009888649947407874,0.005624332342537199,0.4355377566987002,0.4319456383981707,0.4374586467360885,105,10000,evaluation user,True,False
0.24.0,conditional_on_seed,20260724,unseen_user_test,history_informed,60,0.9,0.0,0.140625,0.140625,0.004569120560433126,0.003606757974455729,0.0056228984832998735,-0.004569120560433126,-0.0056124144396837465,0.003908474345063275,0.2798271849984282,0.27736858800364866,0.2811957472273516,105,10000,evaluation user,True,False
0.24.0,conditional_on_seed,20260724,unseen_user_test,history_informed,180,0.9,0.0,0.578125,0.578125,0.012471223776138185,0.010550531556070691,0.014765543323470359,-0.0045337853636904235,-0.013732514379289285,0.010533706704063185,1.1500606268601707,1.139295862729088,1.1560089072169748,105,10000,evaluation user,True,False
0.24.0,conditional_on_seed,20260724,unseen_user_test,history_informed,300,0.9,0.0,0.5546875,0.5546875,0.011743965612204144,0.009965206274592516,0.01400936089969993,-0.011743965612204144,-0.013705366904043767,0.004083132273957436,1.1033533962073463,1.0928262186105695,1.109156896124696,105,10000,evaluation user,True,False
0.24.0,conditional_on_seed,20260724,unseen_user_test,zero_history,60,0.5,0.068359375,0.185546875,0.1171875,0.015234367575019503,0.013387635070537869,0.017124759092152303,-0.015234367575019503,-0.01662914801246424,0.01306216495905478,0.23421192329931628,0.23391796404788648,0.23437251118311764,105,10000,evaluation user,True,False
0.24.0,conditional_on_seed,20260724,goldencheetah_frozen_external,zero_history,60,0.5,0.068359375,0.185546875,0.1171875,0.01116127096964098,0.010305933229836707,0.012026192302293919,0.004073339550585586,-0.011113247592135342,0.01179331795548013,0.23436969468816393,0.2343619870817928,0.23437423227896276,144,10000,evaluation user,True,False
0.24.0,conditional_on_seed,20260724,unseen_user_test,zero_history,180,0.5,0.0,0.1723175048828125,0.1723175048828125,0.018546192739517298,0.015600094067556485,0.02247228942440873,-0.018546192739517298,-0.022003749527854742,0.005608508457117013,0.34443415081183915,0.34407972121744906,0.3446318044548935,105,10000,evaluation user,True,False
