analysis_version,source_model_version,held_sport_code,held_sport_family,regime,mode,horizon_seconds,nominal_coverage,calibrated,conformal_adjustment_bpm,picp,picp_ci_low,picp_ci_high,absolute_coverage_error,absolute_coverage_error_ci_low,absolute_coverage_error_ci_high,mean_interval_width_bpm,mean_interval_width_ci_low,mean_interval_width_ci_high,users,sessions,origins,support_caution_lt25_users,bootstrap_replicates,bootstrap_unit,aggregation
0.17.0,0.12.0,3,running,unseen_sport__running,zero_history,60,0.9,True,0.36328125,0.9343012571334839,0.9295667302961063,0.9387566736067778,0.034301257133483865,0.029566730296106188,0.03875667360677779,25.93698501586914,25.430207465376174,26.462050885547484,448,44652,308648,False,10000,user,"origin-within-session, session-within-user, equal-user mean"
0.17.0,0.12.0,3,running,unseen_sport__running,zero_history,180,0.9,True,0.6015625,0.9318246841430664,0.9268140360546697,0.9366646832620192,0.031824684143066384,0.026814036054669678,0.036664683262019264,35.10947799682617,34.611218168373625,35.63477549361331,448,44652,308648,False,10000,user,"origin-within-session, session-within-user, equal-user mean"
0.17.0,0.12.0,3,running,unseen_sport__running,zero_history,300,0.9,True,0.4324798583984375,0.9239493608474731,0.9181059764498579,0.9294411507801019,0.023949360847473122,0.01810597644985786,0.029441150780101902,38.64389419555664,38.14248448195202,39.14781480154821,448,44652,308648,False,10000,user,"origin-within-session, session-within-user, equal-user mean"
0.17.0,0.12.0,3,running,joint_user_sport__running,history_informed,60,0.9,True,0.21375274658203125,0.9300644397735596,0.9142798085273667,0.9433909493244507,0.030064439773559548,0.014279808527366631,0.04339094932445068,25.850664138793945,24.461639189720152,27.367227562178265,88,8431,60542,False,10000,user,"origin-within-session, session-within-user, equal-user mean"
0.17.0,0.12.0,3,running,joint_user_sport__running,history_informed,180,0.9,True,0.4583282470703125,0.9339258670806885,0.9194814973764799,0.946875114095482,0.033925867080688454,0.019481497376479816,0.0468751140954819,34.68675994873047,33.20808311755007,36.23117648904974,88,8431,60542,False,10000,user,"origin-within-session, session-within-user, equal-user mean"
0.17.0,0.12.0,3,running,joint_user_sport__running,history_informed,300,0.9,True,0.234375,0.9253992438316345,0.909470420838757,0.9391515844078226,0.0253992438316345,0.009470420838756934,0.03915158440782262,38.006412506103516,36.49835286194628,39.58059697909788,88,8431,60542,False,10000,user,"origin-within-session, session-within-user, equal-user mean"
0.17.0,0.12.0,3,running,joint_user_sport__running,zero_history,60,0.9,True,0.36328125,0.9395828247070312,0.9296245972033251,0.9487396178259091,0.03958282470703123,0.02962459720332511,0.04873961782590902,25.705366134643555,24.443287777358837,27.15470297065648,88,8431,60542,False,10000,user,"origin-within-session, session-within-user, equal-user mean"
0.17.0,0.12.0,3,running,joint_user_sport__running,zero_history,180,0.9,True,0.6015625,0.9374138116836548,0.9242130430415273,0.9481727261773565,0.03741381168365476,0.02421304304152723,0.04817272617735645,34.65805435180664,33.43320996436206,36.03153136535124,88,8431,60542,False,10000,user,"origin-within-session, session-within-user, equal-user mean"
0.17.0,0.12.0,3,running,joint_user_sport__running,zero_history,300,0.9,True,0.4324798583984375,0.9310999512672424,0.9170971271497281,0.9431237167086113,0.03109995126724241,0.01709712714972815,0.04312371670861129,38.115352630615234,36.91025447845459,39.381685230406845,88,8431,60542,False,10000,user,"origin-within-session, session-within-user, equal-user mean"
0.17.0,0.12.0,4,walking_hiking,unseen_sport__walking_hiking,history_informed,60,0.9,True,0.0,0.9469316005706787,0.9319078208982117,0.9601754063636893,0.04693160057067869,0.031907820898211606,0.06017540636368923,30.37043571472168,29.10630681282944,31.66937793691953,144,2063,10149,False,10000,user,"origin-within-session, session-within-user, equal-user mean"
0.17.0,0.12.0,4,walking_hiking,unseen_sport__walking_hiking,history_informed,180,0.9,True,0.0,0.9427589774131775,0.925613731932309,0.9581738455117577,0.04275897741317747,0.025613731932308943,0.05817384551175764,41.09088134765625,39.622509032156735,42.54970659845405,144,2063,10149,False,10000,user,"origin-within-session, session-within-user, equal-user mean"
0.17.0,0.12.0,4,walking_hiking,unseen_sport__walking_hiking,history_informed,300,0.9,True,0.0,0.9481239318847656,0.9236830067199966,0.9678569924500253,0.0481239318847656,0.02368300671999652,0.06785699245002533,46.703529357910156,45.12650012572607,48.2648301180866,144,2063,10149,False,10000,user,"origin-within-session, session-within-user, equal-user mean"
0.17.0,0.12.0,4,walking_hiking,unseen_sport__walking_hiking,zero_history,60,0.9,True,0.0,0.929535984992981,0.9088160926579602,0.9466625360047652,0.029535984992980935,0.008834890390021947,0.04666253600476519,28.68173599243164,27.47367995844947,29.925205834706624,144,2063,10149,False,10000,user,"origin-within-session, session-within-user, equal-user mean"
0.17.0,0.12.0,4,walking_hiking,unseen_sport__walking_hiking,zero_history,180,0.9,True,0.0,0.9209216237068176,0.8975988348635534,0.9418353730605709,0.020921623706817605,0.0019642466989655827,0.04183537306057084,38.21678161621094,36.865941709280015,39.61918166743384,144,2063,10149,False,10000,user,"origin-within-session, session-within-user, equal-user mean"
0.17.0,0.12.0,4,walking_hiking,unseen_sport__walking_hiking,zero_history,300,0.9,True,0.0,0.9171731472015381,0.8874956858447857,0.9419112126239472,0.017173147201538064,0.000995819405135112,0.04194320378204186,43.494266510009766,42.06068076325787,44.94822017351786,144,2063,10149,False,10000,user,"origin-within-session, session-within-user, equal-user mean"
0.17.0,0.12.0,4,walking_hiking,joint_user_sport__walking_hiking,history_informed,60,0.9,True,0.0,0.9369328022003174,0.8670567132140461,0.9814227859440603,0.03693280220031736,0.0021270312133587627,0.08153030480209146,30.120590209960938,26.063368162355925,34.30873344822934,19,96,428,True,10000,user,"origin-within-session, session-within-user, equal-user mean"
0.17.0,0.12.0,4,walking_hiking,joint_user_sport__walking_hiking,history_informed,180,0.9,True,0.0,0.9224066734313965,0.8710410605919988,0.9631823451111191,0.022406673431396462,0.0013505985234912588,0.06346822035940064,39.98275375366211,35.56414451850088,44.54006272617139,19,96,428,True,10000,user,"origin-within-session, session-within-user, equal-user mean"
0.17.0,0.12.0,4,walking_hiking,joint_user_sport__walking_hiking,history_informed,300,0.9,True,0.0,0.9361120462417603,0.903606021717975,0.9674256121641711,0.03611204624176023,0.005193721150097078,0.06742561216417105,45.14142608642578,40.72652347464311,49.51335369913202,19,96,428,True,10000,user,"origin-within-session, session-within-user, equal-user mean"
0.17.0,0.12.0,4,walking_hiking,joint_user_sport__walking_hiking,zero_history,60,0.9,True,0.0,0.926577091217041,0.8555700011159245,0.9734088213820207,0.026577091217040993,0.001462771406299135,0.07447163170889805,29.194997787475586,25.307266064694055,33.10839088088587,19,96,428,True,10000,user,"origin-within-session, session-within-user, equal-user mean"
0.17.0,0.12.0,4,walking_hiking,joint_user_sport__walking_hiking,zero_history,180,0.9,True,0.0,0.9148879051208496,0.8607455292814656,0.9587684463513525,0.014887905120849587,0.0010825753211974876,0.06023252386795838,38.7047233581543,34.559527618006655,42.909546470642084,19,96,428,True,10000,user,"origin-within-session, session-within-user, equal-user mean"
0.17.0,0.12.0,4,walking_hiking,joint_user_sport__walking_hiking,zero_history,300,0.9,True,0.0,0.9272148013114929,0.8897085170996816,0.9615970704116319,0.027214801311492898,0.001668995148257213,0.06159707041163187,43.86670684814453,39.73181555898566,47.9124198762994,19,96,428,True,10000,user,"origin-within-session, session-within-user, equal-user mean"
0.17.0,0.12.0,7,strength_cross_training,unseen_sport__strength_cross_training,history_informed,60,0.9,True,0.046875,0.8681238889694214,0.8297461931716721,0.9022022729071806,0.031876111030578635,0.002658195863917157,0.07025380682832795,35.72121810913086,33.18400863139135,38.264985002436724,106,587,3189,False,10000,user,"origin-within-session, session-within-user, equal-user mean"
0.17.0,0.12.0,7,strength_cross_training,unseen_sport__strength_cross_training,history_informed,180,0.9,True,0.0833282470703125,0.8854164481163025,0.8465054537327784,0.9193660904987241,0.014583551883697532,0.0007138643807397872,0.0534945462672216,45.04214859008789,42.2278227192051,47.78507610244571,106,587,3189,False,10000,user,"origin-within-session, session-within-user, equal-user mean"
