analysis_version,seed,regime,mode,horizon_seconds,cohort,mae_bpm,rmse_bpm,bias_bpm,users,sessions,origins
0.30.0,20260724,within_user_temporal_test,history_informed,60,horizon_specific,6.038685321807861,7.452247619628906,0.567970871925354,948,16012,118631
0.30.0,20260725,within_user_temporal_test,history_informed,60,common_three_target,6.057161808013916,7.341521739959717,0.4279281795024872,948,16012,104144
0.30.0,20260725,within_user_temporal_test,history_informed,60,horizon_specific,6.052501678466797,7.469893932342529,0.5444086194038391,948,16012,118631
0.30.0,20260726,within_user_temporal_test,history_informed,60,common_three_target,6.003769874572754,7.2849016189575195,0.4788159728050232,948,16012,104144
0.30.0,20260726,within_user_temporal_test,history_informed,60,horizon_specific,6.002716064453125,7.415457248687744,0.5751727223396301,948,16012,118631
0.30.0,20260722,within_user_temporal_test,history_informed,180,common_three_target,7.555811405181885,9.100744247436523,0.520582914352417,948,16012,104144
0.30.0,20260722,within_user_temporal_test,history_informed,180,horizon_specific,7.694246768951416,9.393096923828125,0.7607005834579468,948,16012,112710
0.30.0,20260723,within_user_temporal_test,history_informed,180,common_three_target,7.547680377960205,9.093572616577148,0.5056145191192627,948,16012,104144
0.30.0,20260723,within_user_temporal_test,history_informed,180,horizon_specific,7.691849708557129,9.394156455993652,0.752465546131134,948,16012,112710
0.30.0,20260724,within_user_temporal_test,history_informed,180,common_three_target,7.5615644454956055,9.109119415283203,0.5630019307136536,948,16012,104144
0.30.0,20260724,within_user_temporal_test,history_informed,180,horizon_specific,7.7052903175354,9.406319618225098,0.7977635264396667,948,16012,112710
0.30.0,20260725,within_user_temporal_test,history_informed,180,common_three_target,7.562630653381348,9.110174179077148,0.32970282435417175,948,16012,104144
0.30.0,20260725,within_user_temporal_test,history_informed,180,horizon_specific,7.705822944641113,9.403948783874512,0.5764042139053345,948,16012,112710
0.30.0,20260726,within_user_temporal_test,history_informed,180,common_three_target,7.556800842285156,9.09388542175293,0.44408363103866577,948,16012,104144
0.30.0,20260726,within_user_temporal_test,history_informed,180,horizon_specific,7.700742244720459,9.391416549682617,0.6864566206932068,948,16012,112710
0.30.0,20260722,within_user_temporal_test,history_informed,300,common_three_target,8.24500846862793,9.837581634521484,0.6618062853813171,948,16012,104144
0.30.0,20260722,within_user_temporal_test,history_informed,300,horizon_specific,8.347240447998047,10.03625774383545,0.8319905996322632,948,16012,107326
0.30.0,20260723,within_user_temporal_test,history_informed,300,common_three_target,8.239315032958984,9.836227416992188,0.66590815782547,948,16012,104144
0.30.0,20260723,within_user_temporal_test,history_informed,300,horizon_specific,8.353344917297363,10.042448997497559,0.8419389128684998,948,16012,107326
0.30.0,20260724,within_user_temporal_test,history_informed,300,common_three_target,8.260446548461914,9.85885238647461,0.7070445418357849,948,16012,104144
0.30.0,20260724,within_user_temporal_test,history_informed,300,horizon_specific,8.369495391845703,10.063472747802734,0.8803685307502747,948,16012,107326
0.30.0,20260725,within_user_temporal_test,history_informed,300,common_three_target,8.267219543457031,9.870575904846191,0.5916352868080139,948,16012,104144
0.30.0,20260725,within_user_temporal_test,history_informed,300,horizon_specific,8.378767013549805,10.076951026916504,0.7725731134414673,948,16012,107326
0.30.0,20260726,within_user_temporal_test,history_informed,300,common_three_target,8.244815826416016,9.841926574707031,0.680674135684967,948,16012,104144
0.30.0,20260726,within_user_temporal_test,history_informed,300,horizon_specific,8.35465145111084,10.045050621032715,0.8555846214294434,948,16012,107326
