model_version,regime,mode,horizon_seconds,nominal_coverage,calibrated,picp,absolute_coverage_error,mean_interval_width_bpm,conformal_adjustment_bpm,users,sessions,origins
0.11.0,goldencheetah_frozen_external,zero_history,60,0.8,True,0.7764489054679871,0.023551094532012984,22.101484298706055,0.0,144,31851,531725
0.11.0,goldencheetah_frozen_external,zero_history,180,0.8,True,0.7474929094314575,0.052507090568542525,28.142223358154297,0.0,144,31851,531725
0.11.0,goldencheetah_frozen_external,zero_history,300,0.8,True,0.7423403263092041,0.05765967369079594,30.720998764038086,0.0,144,31851,531725
0.11.0,goldencheetah_frozen_external,zero_history,60,0.9,False,0.8768179416656494,0.023182058334350608,29.430131912231445,0.0,144,31851,531725
0.11.0,goldencheetah_frozen_external,zero_history,180,0.9,False,0.858568012714386,0.041431987285614036,37.49761962890625,0.0,144,31851,531725
0.11.0,goldencheetah_frozen_external,zero_history,300,0.9,False,0.8502699732780457,0.04973002672195437,40.560333251953125,0.0,144,31851,531725
0.11.0,goldencheetah_frozen_external,zero_history,60,0.9,True,0.8774687647819519,0.022531235218048118,29.49088478088379,0.0303802490234375,144,31851,531725
0.11.0,goldencheetah_frozen_external,zero_history,180,0.9,True,0.858568012714386,0.041431987285614036,37.49761962890625,0.0,144,31851,531725
0.11.0,goldencheetah_frozen_external,zero_history,300,0.9,True,0.8502699732780457,0.04973002672195437,40.560333251953125,0.0,144,31851,531725
0.11.0,goldencheetah_external__outdoor_cycling,zero_history,60,0.5,False,0.4881901741027832,0.011809825897216797,11.698193550109863,0.0,143,25757,470820
0.11.0,goldencheetah_external__outdoor_cycling,zero_history,180,0.5,False,0.46225979924201965,0.03774020075798035,14.856464385986328,0.0,143,25757,470820
0.11.0,goldencheetah_external__outdoor_cycling,zero_history,300,0.5,False,0.45869290828704834,0.04130709171295166,16.167665481567383,0.0,143,25757,470820
0.11.0,goldencheetah_external__outdoor_cycling,zero_history,60,0.5,True,0.4881901741027832,0.011809825897216797,11.698193550109863,0.0,143,25757,470820
0.11.0,goldencheetah_external__outdoor_cycling,zero_history,180,0.5,True,0.46225979924201965,0.03774020075798035,14.856464385986328,0.0,143,25757,470820
0.11.0,goldencheetah_external__outdoor_cycling,zero_history,300,0.5,True,0.45869290828704834,0.04130709171295166,16.167665481567383,0.0,143,25757,470820
0.11.0,goldencheetah_external__outdoor_cycling,zero_history,60,0.8,False,0.781572163105011,0.018427836894989058,23.137393951416016,0.0,143,25757,470820
0.11.0,goldencheetah_external__outdoor_cycling,zero_history,180,0.8,False,0.7515982389450073,0.04840176105499272,29.382104873657227,0.0,143,25757,470820
0.11.0,goldencheetah_external__outdoor_cycling,zero_history,300,0.8,False,0.744560718536377,0.05543928146362309,32.048805236816406,0.0,143,25757,470820
0.11.0,goldencheetah_external__outdoor_cycling,zero_history,60,0.8,True,0.781572163105011,0.018427836894989058,23.137393951416016,0.0,143,25757,470820
0.11.0,goldencheetah_external__outdoor_cycling,zero_history,180,0.8,True,0.7515982389450073,0.04840176105499272,29.382104873657227,0.0,143,25757,470820
0.11.0,goldencheetah_external__outdoor_cycling,zero_history,300,0.8,True,0.744560718536377,0.05543928146362309,32.048805236816406,0.0,143,25757,470820
0.11.0,goldencheetah_external__outdoor_cycling,zero_history,60,0.9,False,0.8824635148048401,0.017536485195159934,30.802112579345703,0.0,143,25757,470820
0.11.0,goldencheetah_external__outdoor_cycling,zero_history,180,0.9,False,0.8621758818626404,0.03782411813735964,39.09172058105469,0.0,143,25757,470820
0.11.0,goldencheetah_external__outdoor_cycling,zero_history,300,0.9,False,0.8523710370063782,0.04762896299362185,42.220123291015625,0.0,143,25757,470820
0.11.0,goldencheetah_external__outdoor_cycling,zero_history,60,0.9,True,0.8829992413520813,0.017000758647918723,30.862871170043945,0.0303802490234375,143,25757,470820
0.11.0,goldencheetah_external__outdoor_cycling,zero_history,180,0.9,True,0.8621758818626404,0.03782411813735964,39.09172058105469,0.0,143,25757,470820
0.11.0,goldencheetah_external__outdoor_cycling,zero_history,300,0.9,True,0.8523710370063782,0.04762896299362185,42.220123291015625,0.0,143,25757,470820
0.11.0,goldencheetah_external__indoor_virtual_cycling,zero_history,60,0.5,False,0.4130958318710327,0.08690416812896729,7.330134868621826,0.0,41,2275,26235
0.11.0,goldencheetah_external__indoor_virtual_cycling,zero_history,180,0.5,False,0.41243642568588257,0.08756357431411743,10.350593566894531,0.0,41,2275,26235
0.11.0,goldencheetah_external__indoor_virtual_cycling,zero_history,300,0.5,False,0.3783170282840729,0.12168297171592712,11.659246444702148,0.0,41,2275,26235
0.11.0,goldencheetah_external__indoor_virtual_cycling,zero_history,60,0.5,True,0.4130958318710327,0.08690416812896729,7.330134868621826,0.0,41,2275,26235
0.11.0,goldencheetah_external__indoor_virtual_cycling,zero_history,180,0.5,True,0.41243642568588257,0.08756357431411743,10.350593566894531,0.0,41,2275,26235
0.11.0,goldencheetah_external__indoor_virtual_cycling,zero_history,300,0.5,True,0.3783170282840729,0.12168297171592712,11.659246444702148,0.0,41,2275,26235
0.11.0,goldencheetah_external__indoor_virtual_cycling,zero_history,60,0.8,False,0.7043945789337158,0.09560542106628422,14.889602661132812,0.0,41,2275,26235
0.11.0,goldencheetah_external__indoor_virtual_cycling,zero_history,180,0.8,False,0.6645877957344055,0.13541220426559453,20.91171646118164,0.0,41,2275,26235
0.11.0,goldencheetah_external__indoor_virtual_cycling,zero_history,300,0.8,False,0.6556728482246399,0.14432715177536015,23.70717430114746,0.0,41,2275,26235
0.11.0,goldencheetah_external__indoor_virtual_cycling,zero_history,60,0.8,True,0.7043945789337158,0.09560542106628422,14.889602661132812,0.0,41,2275,26235
0.11.0,goldencheetah_external__indoor_virtual_cycling,zero_history,180,0.8,True,0.6645877957344055,0.13541220426559453,20.91171646118164,0.0,41,2275,26235
0.11.0,goldencheetah_external__indoor_virtual_cycling,zero_history,300,0.8,True,0.6556728482246399,0.14432715177536015,23.70717430114746,0.0,41,2275,26235
0.11.0,goldencheetah_external__indoor_virtual_cycling,zero_history,60,0.9,False,0.8094885945320129,0.09051140546798708,20.245506286621094,0.0,41,2275,26235
0.11.0,goldencheetah_external__indoor_virtual_cycling,zero_history,180,0.9,False,0.7962629795074463,0.10373702049255373,28.591766357421875,0.0,41,2275,26235
0.11.0,goldencheetah_external__indoor_virtual_cycling,zero_history,300,0.9,False,0.7664270401000977,0.13357295989990237,32.00386047363281,0.0,41,2275,26235
0.11.0,goldencheetah_external__indoor_virtual_cycling,zero_history,60,0.9,True,0.8103045225143433,0.08969547748565676,20.306264877319336,0.0303802490234375,41,2275,26235
0.11.0,goldencheetah_external__indoor_virtual_cycling,zero_history,180,0.9,True,0.7962629795074463,0.10373702049255373,28.591766357421875,0.0,41,2275,26235
0.11.0,goldencheetah_external__indoor_virtual_cycling,zero_history,300,0.9,True,0.7664270401000977,0.13357295989990237,32.00386047363281,0.0,41,2275,26235
0.11.0,goldencheetah_external__running,zero_history,60,0.5,False,0.48060011863708496,0.01939988136291504,7.846407413482666,0.0,50,3819,34670
0.11.0,goldencheetah_external__running,zero_history,180,0.5,False,0.4602791965007782,0.0397208034992218,10.233726501464844,0.0,50,3819,34670
0.11.0,goldencheetah_external__running,zero_history,300,0.5,False,0.4651459753513336,0.03485402464866638,11.125938415527344,0.0,50,3819,34670
0.11.0,goldencheetah_external__running,zero_history,60,0.5,True,0.48060011863708496,0.01939988136291504,7.846407413482666,0.0,50,3819,34670
0.11.0,goldencheetah_external__running,zero_history,180,0.5,True,0.4602791965007782,0.0397208034992218,10.233726501464844,0.0,50,3819,34670
0.11.0,goldencheetah_external__running,zero_history,300,0.5,True,0.4651459753513336,0.03485402464866638,11.125938415527344,0.0,50,3819,34670
