model_version,regime,mode,horizon_seconds,calibrated,pinball_loss,weighted_interval_score,normalized_90_interval_width,mean_user_spearman_width_absolute_error,users_with_defined_spearman,users,sessions,origins
0.11.0,unseen_user_test,history_informed,60,False,1.7219808101654053,3.4439613819122314,0.1697523146867752,0.3592460657773349,104,105,15026,101184
0.11.0,unseen_user_test,history_informed,180,False,2.1960766315460205,4.392153263092041,0.21132038533687592,0.3271131193494099,104,105,15026,101184
0.11.0,unseen_user_test,history_informed,300,False,2.4440560340881348,4.888111591339111,0.22870588302612305,0.2892703903872033,104,105,15026,101184
0.11.0,unseen_user_test,history_informed,60,True,1.7219808101654053,3.4439175128936768,0.17029720544815063,0.35924793152361156,104,105,15026,101184
0.11.0,unseen_user_test,history_informed,180,True,2.1960766315460205,4.392153263092041,0.21132038533687592,0.3271131193494099,104,105,15026,101184
0.11.0,unseen_user_test,history_informed,300,True,2.4440560340881348,4.888111591339111,0.22870588302612305,0.2892703903872033,104,105,15026,101184
0.11.0,goldencheetah_frozen_external,zero_history,60,False,2.2398295402526855,4.479659080505371,0.22466900944709778,0.36125492329227443,144,144,31851,531725
0.11.0,goldencheetah_frozen_external,zero_history,180,False,3.0485165119171143,6.0970330238342285,0.28277936577796936,0.3145264999316218,144,144,31851,531725
0.11.0,goldencheetah_frozen_external,zero_history,300,False,3.361403465270996,6.722806453704834,0.30553531646728516,0.2719169429330461,144,144,31851,531725
0.11.0,goldencheetah_frozen_external,zero_history,60,True,2.2398295402526855,4.479460716247559,0.22512228786945343,0.36125484752242365,144,144,31851,531725
0.11.0,goldencheetah_frozen_external,zero_history,180,True,3.0485165119171143,6.0970330238342285,0.28277936577796936,0.3145264999316218,144,144,31851,531725
0.11.0,goldencheetah_frozen_external,zero_history,300,True,3.361403465270996,6.722806453704834,0.30553531646728516,0.2719169429330461,144,144,31851,531725
0.11.0,goldencheetah_external__outdoor_cycling,zero_history,60,False,2.3046858310699463,4.609371662139893,0.23718683421611786,0.35194502482369006,143,143,25757,470820
0.11.0,goldencheetah_external__outdoor_cycling,zero_history,180,False,3.134282112121582,6.268564224243164,0.2977360486984253,0.30272910618473575,143,143,25757,470820
0.11.0,goldencheetah_external__outdoor_cycling,zero_history,300,False,3.4544498920440674,6.908898830413818,0.32142969965934753,0.2576890041073381,143,143,25757,470820
0.11.0,goldencheetah_external__outdoor_cycling,zero_history,60,True,2.3046858310699463,4.609221458435059,0.23764705657958984,0.3519449247901127,143,143,25757,470820
0.11.0,goldencheetah_external__outdoor_cycling,zero_history,180,True,3.134282112121582,6.268564224243164,0.2977360486984253,0.30272910618473575,143,143,25757,470820
0.11.0,goldencheetah_external__outdoor_cycling,zero_history,300,True,3.4544498920440674,6.908898830413818,0.32142969965934753,0.2576890041073381,143,143,25757,470820
0.11.0,goldencheetah_external__indoor_virtual_cycling,zero_history,60,False,2.054637908935547,4.109275817871094,0.1499827653169632,0.309175697747496,41,41,2275,26235
0.11.0,goldencheetah_external__indoor_virtual_cycling,zero_history,180,False,3.0353288650512695,6.070657730102539,0.20884299278259277,0.2989984252753531,41,41,2275,26235
0.11.0,goldencheetah_external__indoor_virtual_cycling,zero_history,300,False,3.693021059036255,7.38604211807251,0.2332955151796341,0.19622603417482237,41,41,2275,26235
0.11.0,goldencheetah_external__indoor_virtual_cycling,zero_history,60,True,2.054637908935547,4.108493328094482,0.15042461454868317,0.309175697747496,41,41,2275,26235
0.11.0,goldencheetah_external__indoor_virtual_cycling,zero_history,180,True,3.0353288650512695,6.070657730102539,0.20884299278259277,0.2989984252753531,41,41,2275,26235
0.11.0,goldencheetah_external__indoor_virtual_cycling,zero_history,300,True,3.693021059036255,7.38604211807251,0.2332955151796341,0.19622603417482237,41,41,2275,26235
0.11.0,goldencheetah_external__running,zero_history,60,False,1.8326228857040405,3.665245771408081,0.15682730078697205,0.3555042544591656,50,50,3819,34670
0.11.0,goldencheetah_external__running,zero_history,180,False,2.43475079536438,4.869501113891602,0.2022818624973297,0.3009160758153101,50,50,3819,34670
0.11.0,goldencheetah_external__running,zero_history,300,False,2.7527694702148438,5.5055389404296875,0.22311130166053772,0.26802615858274303,50,50,3819,34670
0.11.0,goldencheetah_external__running,zero_history,60,True,1.8326228857040405,3.6648569107055664,0.15726804733276367,0.3555041958336345,50,50,3819,34670
0.11.0,goldencheetah_external__running,zero_history,180,True,2.43475079536438,4.869501113891602,0.2022818624973297,0.3009160758153101,50,50,3819,34670
0.11.0,goldencheetah_external__running,zero_history,300,True,2.7527694702148438,5.5055389404296875,0.22311130166053772,0.26802615858274303,50,50,3819,34670
