regime,mode,horizon_seconds,nominal_coverage,calibration_method,seed_count,conformal_adjustment_bpm_median,conformal_adjustment_bpm_min,conformal_adjustment_bpm_max,picp_median,picp_min,picp_max,absolute_coverage_error_median,absolute_coverage_error_min,absolute_coverage_error_max,mean_interval_width_bpm_median,mean_interval_width_bpm_min,mean_interval_width_bpm_max
unseen_user_test,history_informed,180,0.9,equal_user_equal_session_empirical,5,0.4915924072265625,0.205352783203125,0.625,0.9018166807815502,0.898647230418773,0.9039687192062239,0.0018166807815501729,0.0013527695812269869,0.003968719206223881,30.639483515472655,30.456000372180686,31.268619806593613
unseen_user_test,history_informed,180,0.9,origin_pooled_finite_sample_cqr,5,0.0,0.0,0.0625,0.8905643956283134,0.8878541354651678,0.8973966971374501,0.009435604371686668,0.00260330286254995,0.01214586453483224,29.746550623696994,29.519310346283277,30.42510099194825
unseen_user_test,history_informed,300,0.5,equal_user_equal_session_empirical,5,0.0612030029296875,0.0,0.1811065673828125,0.48860159799004776,0.48230384388332814,0.4920691647573941,0.011398402009952235,0.007930835242605905,0.017696156116671857,12.291192046088888,12.14024237759746,12.375433508926298
unseen_user_test,history_informed,300,0.5,origin_pooled_finite_sample_cqr,5,0.0,0.0,0.0,0.4813614117670946,0.4760728831345465,0.4913339529488474,0.018638588232905373,0.008666047051152592,0.023927116865453513,12.018022490904006,11.93331903821181,12.375433508926298
unseen_user_test,history_informed,300,0.8,equal_user_equal_session_empirical,5,0.1940155029296875,0.0305633544921875,0.34765625,0.7866673759670147,0.782589904553631,0.7930119881740162,0.013332624032985296,0.006988011825983853,0.017410095446369067,24.329212315048288,24.115486314060277,24.831958963163604
unseen_user_test,history_informed,300,0.8,origin_pooled_finite_sample_cqr,5,0.0,0.0,0.0,0.7838241537704457,0.7688742913193323,0.7856523940256633,0.01617584622955437,0.014347605974336708,0.031125708680667774,23.969228053401867,23.636039864008715,24.396421206464904
unseen_user_test,history_informed,300,0.9,equal_user_equal_session_empirical,5,0.5546875,0.4343719482421875,0.84375,0.8927899280804831,0.8914154788850438,0.8945387771923946,0.007210071919516947,0.005461222807605415,0.008584521114956223,33.668123191095546,33.132744867006124,33.750515140072494
unseen_user_test,history_informed,300,0.9,origin_pooled_finite_sample_cqr,5,0.0,0.0,0.140625,0.8827948115801905,0.8762408231382789,0.884979326223347,0.01720518841980956,0.01502067377665306,0.023759176861721132,32.23860978402401,31.98275230708884,32.81220259811752
unseen_user_test,history_informed,60,0.5,equal_user_equal_session_empirical,5,0.06640625,0.0,0.1275177001953125,0.5006357842253883,0.48701104542404544,0.5017606760258787,0.0017606760258787046,0.0006357842253883472,0.012988954575954559,9.067963343755691,8.971589997606312,9.167844568465854
unseen_user_test,history_informed,60,0.5,origin_pooled_finite_sample_cqr,5,0.0030364990234375,0.0,0.021484375,0.4888996781630578,0.4792207163784136,0.4981215853147573,0.011100321836942206,0.0018784146852426908,0.020779283621586375,8.994180455252863,8.854536618902847,9.071362416651732
unseen_user_test,history_informed,60,0.8,equal_user_equal_session_empirical,5,0.19921875,0.0,0.2356719970703125,0.8019237006388096,0.7969534643263676,0.806279796193994,0.0030465356736324445,0.0011587528762463384,0.006279796193993992,18.153357397297885,17.97728229874884,18.26948417499328
unseen_user_test,history_informed,60,0.8,origin_pooled_finite_sample_cqr,5,0.0,0.0,0.01953125,0.7917988559377723,0.7869513064430906,0.806279796193994,0.008201144062227717,0.0061843452407048805,0.013048693556909408,17.75739533846064,17.546106276894548,18.26948417499328
unseen_user_test,history_informed,60,0.9,equal_user_equal_session_empirical,5,0.303619384765625,0.140625,0.3203125,0.9009219795599546,0.8977631502346147,0.9063242407286952,0.002236849765385296,0.0004589235496994526,0.006324240728695196,24.23598266255618,24.07853052942087,24.64749362406359
