model_version,held_sport_family,regime,model,horizon_seconds,mae_bpm,rmse_bpm,bias_bpm,users,sessions,origins
0.12.0,walking_hiking,unseen_sport__walking_hiking,ewma_alpha_0_1,60,5.890660238452906,7.010448026163258,0.23089854990221945,144,2063,10149
0.12.0,walking_hiking,unseen_sport__walking_hiking,ewma_alpha_0_1,180,7.279621301381106,8.551562157336214,0.011864132974115494,144,2063,10149
0.12.0,walking_hiking,unseen_sport__walking_hiking,ewma_alpha_0_1,300,7.7329048836021235,8.983572725746455,0.3170584569979699,144,2063,10149
0.12.0,walking_hiking,unseen_sport__walking_hiking,linear_trend,60,7.608024293042218,9.00433919218465,0.11525894332105135,144,2063,10149
0.12.0,walking_hiking,unseen_sport__walking_hiking,linear_trend,180,11.70027707157472,13.674543166956246,-0.23540750080927486,144,2063,10149
0.12.0,walking_hiking,unseen_sport__walking_hiking,linear_trend,300,15.07226460557451,17.692392170894138,-0.02909002078228114,144,2063,10149
0.12.0,walking_hiking,joint_user_sport__walking_hiking,persistence,60,6.839706715277692,8.27962268404305,1.0075357392218074,19,96,428
0.12.0,walking_hiking,joint_user_sport__walking_hiking,persistence,180,8.244490543327913,9.555109995727442,-0.09832423079771607,19,96,428
0.12.0,walking_hiking,joint_user_sport__walking_hiking,persistence,300,8.078247008184485,9.218235967901085,1.1805467092630844,19,96,428
0.12.0,walking_hiking,joint_user_sport__walking_hiking,ewma_alpha_0_1,60,6.5654453962882116,7.810216685997396,1.50616156705503,19,96,428
0.12.0,walking_hiking,joint_user_sport__walking_hiking,ewma_alpha_0_1,180,6.950994814368781,8.085493280913148,0.4003015970355066,19,96,428
0.12.0,walking_hiking,joint_user_sport__walking_hiking,ewma_alpha_0_1,300,7.777376471999291,8.858940489387088,1.679172537096307,19,96,428
0.12.0,walking_hiking,joint_user_sport__walking_hiking,linear_trend,60,8.744842105748845,10.295516578016413,1.703147183070952,19,96,428
0.12.0,walking_hiking,joint_user_sport__walking_hiking,linear_trend,180,10.754959382982314,12.622031308154348,0.7423955447965145,19,96,428
0.12.0,walking_hiking,joint_user_sport__walking_hiking,linear_trend,300,15.177067020155807,17.36708370694493,2.312792459544024,19,96,428
0.12.0,strength_cross_training,unseen_sport__strength_cross_training,persistence,60,9.992129155821324,11.600019313587017,0.9018873198997204,106,587,3189
0.12.0,strength_cross_training,unseen_sport__strength_cross_training,persistence,180,12.091546233943351,14.114218705292902,0.7300256940331238,106,587,3189
0.12.0,strength_cross_training,unseen_sport__strength_cross_training,persistence,300,13.276317169398496,15.227299361118563,1.079636829916017,106,587,3189
0.12.0,strength_cross_training,unseen_sport__strength_cross_training,ewma_alpha_0_1,60,9.773987209300937,11.271976578464109,0.4704816055609613,106,587,3189
0.12.0,strength_cross_training,unseen_sport__strength_cross_training,ewma_alpha_0_1,180,10.730567477816033,12.409708846389222,0.2986199796943649,106,587,3189
0.12.0,strength_cross_training,unseen_sport__strength_cross_training,ewma_alpha_0_1,300,12.003979695367613,13.683623973955461,0.6482311155772583,106,587,3189
0.12.0,strength_cross_training,unseen_sport__strength_cross_training,linear_trend,60,11.758084940532605,13.69722168999988,2.1514572180320557,106,587,3189
0.12.0,strength_cross_training,unseen_sport__strength_cross_training,linear_trend,180,17.445291772978827,20.143590201802418,3.3081627480731512,106,587,3189
0.12.0,strength_cross_training,unseen_sport__strength_cross_training,linear_trend,300,22.451397700723145,25.644527680232,4.714819058802116,106,587,3189
0.12.0,strength_cross_training,joint_user_sport__strength_cross_training,persistence,60,10.233794814711935,12.305378410504774,3.42974987318494,20,112,503
0.12.0,strength_cross_training,joint_user_sport__strength_cross_training,persistence,180,13.834877916756573,15.847646629121792,5.0416632737600295,20,112,503
