baseline_version,regime,model,horizon_seconds,mae_bpm,rmse_bpm,bias_bpm,users,sessions,origins,aggregation
0.5.0,unseen_sport__walking_hiking,persistence,300,8.412943025612165,9.780367670638789,0.5779272438366352,202,2485,12327,"origin-within-session, session-within-user, equal-user mean"
0.5.0,unseen_user_test,ewma,60,6.65360678837727,8.022635870240164,-0.7929395722155604,105,15026,101184,"origin-within-session, session-within-user, equal-user mean"
0.5.0,unseen_user_test,ewma,180,7.9016596816433795,9.45444236071691,-1.05040392067155,105,15026,101184,"origin-within-session, session-within-user, equal-user mean"
0.5.0,unseen_user_test,ewma,300,8.798426563020444,10.468627399232536,-1.2313814926724376,105,15026,101184,"origin-within-session, session-within-user, equal-user mean"
0.5.0,unseen_user_test,linear_trend,60,8.551726588905291,10.32116287057826,0.44579556634063766,105,15026,101184,"origin-within-session, session-within-user, equal-user mean"
0.5.0,unseen_user_test,linear_trend,180,13.122174256696379,15.672124372284616,1.0828256135380465,105,15026,101184,"origin-within-session, session-within-user, equal-user mean"
0.5.0,unseen_user_test,linear_trend,300,17.538460080452687,20.77886667111633,1.7700561085218238,105,15026,101184,"origin-within-session, session-within-user, equal-user mean"
0.5.0,unseen_user_test,persistence,60,6.559022520910067,8.041612518396123,-0.3912475548261799,105,15026,101184,"origin-within-session, session-within-user, equal-user mean"
0.5.0,unseen_user_test,persistence,180,8.626678339409843,10.444082423866396,-0.6487119032821693,105,15026,101184,"origin-within-session, session-within-user, equal-user mean"
0.5.0,unseen_user_test,persistence,300,9.599249692307811,11.457073216118317,-0.8296894752830568,105,15026,101184,"origin-within-session, session-within-user, equal-user mean"
