analysis_version,source_model_version,reference_seed,comparison_scope,sport_family,horizon_seconds,metric,unit,internal_source,internal_mode,internal_estimate,internal_ci_low,internal_ci_high,external_source,external_mode,external_estimate,external_ci_low,external_ci_high,external_minus_internal,difference_ci_low,difference_ci_high,internal_users,external_users,internal_sessions,external_sessions,internal_origins,external_origins,bootstrap_replicates,bootstrap_unit,aggregation,post_cqr,causal_source_or_device_effect_claimed,user_level_conformal_guarantee_claimed
0.24.0,0.11.0,20260722,shared_family_natural_mix,all_three_supported_families,180,weighted_interval_score,bpm,Endomondo,unseen_user_zero_history,4.416135275674868,4.116424901836441,4.722656614889023,GoldenCheetah,forced_zero_history,6.097033510647041,5.8628608494487375,6.337331242161118,1.6808982349721724,1.2982924554580306,2.0583391764394925,104,144,14762,31851,99921,531725,10000,user independently within each source,"origin-within-session, session-within-user, equal-user family mean, then stated family weighting",True,False,False
0.24.0,0.11.0,20260722,sport_matched,outdoor_cycling,180,picp_90,proportion,Endomondo,unseen_user_zero_history,0.900738370877579,0.8864371896689159,0.9145284233541735,GoldenCheetah,forced_zero_history,0.8621758881703774,0.8540550581309384,0.8702901676002397,-0.03856248270720164,-0.05445119629847693,-0.022139856892027448,77,143,6097,25757,37856,470820,10000,user independently within each source,"origin-within-session, session-within-user, equal-user family mean, then stated family weighting",True,False,False
0.24.0,0.11.0,20260722,sport_matched,outdoor_cycling,180,mean_90_interval_width_bpm,bpm,Endomondo,unseen_user_zero_history,39.19345619067824,37.85351328834309,40.55369786546164,GoldenCheetah,forced_zero_history,39.09171597273384,38.2970131070051,39.875255033888116,-0.10174021794440335,-1.6776416552369986,1.4507648578745083,77,143,6097,25757,37856,470820,10000,user independently within each source,"origin-within-session, session-within-user, equal-user family mean, then stated family weighting",True,False,False
0.24.0,0.11.0,20260722,sport_matched,outdoor_cycling,180,weighted_interval_score,bpm,Endomondo,unseen_user_zero_history,5.533357105597067,5.1490521437837105,5.967545425135943,GoldenCheetah,forced_zero_history,6.268564304883711,6.037186692845126,6.503936410030785,0.735207199286644,0.2548524554812658,1.1805243159857826,77,143,6097,25757,37856,470820,10000,user independently within each source,"origin-within-session, session-within-user, equal-user family mean, then stated family weighting",True,False,False
0.24.0,0.11.0,20260722,sport_matched,indoor_virtual_cycling,180,picp_90,proportion,Endomondo,unseen_user_zero_history,0.8519217508178214,0.7269062953612884,0.9323276635789978,GoldenCheetah,forced_zero_history,0.7962629719076316,0.7603667393997909,0.8307774542601608,-0.05565877891018978,-0.1477813949377306,0.07339686103165978,18,41,234,2275,1523,26235,10000,user independently within each source,"origin-within-session, session-within-user, equal-user family mean, then stated family weighting",True,False,False
0.24.0,0.11.0,20260722,sport_matched,indoor_virtual_cycling,180,mean_90_interval_width_bpm,bpm,Endomondo,unseen_user_zero_history,32.44935707590704,27.585502766422618,37.729332838862504,GoldenCheetah,forced_zero_history,28.591766651683244,27.49252366866595,29.713280323890988,-3.857590424223794,-9.266516821041519,1.0808222360525213,18,41,234,2275,1523,26235,10000,user independently within each source,"origin-within-session, session-within-user, equal-user family mean, then stated family weighting",True,False,False
0.24.0,0.11.0,20260722,sport_matched,indoor_virtual_cycling,180,weighted_interval_score,bpm,Endomondo,unseen_user_zero_history,5.025183756348269,3.9847025935926017,6.145234278793229,GoldenCheetah,forced_zero_history,6.07065758986139,5.249976262723508,6.987406885526137,1.045473833513121,-0.350032752138119,2.4626218951649053,18,41,234,2275,1523,26235,10000,user independently within each source,"origin-within-session, session-within-user, equal-user family mean, then stated family weighting",True,False,False
0.24.0,0.11.0,20260722,sport_matched,running,180,picp_90,proportion,Endomondo,unseen_user_zero_history,0.8897422890093011,0.8787513328509743,0.9005605528059298,GoldenCheetah,forced_zero_history,0.8597251915989566,0.8272452757301386,0.8865458224543181,-0.03001709741034453,-0.06417783428072577,-0.00043294817491807357,88,50,8431,3819,60542,34670,10000,user independently within each source,"origin-within-session, session-within-user, equal-user family mean, then stated family weighting",True,False,False
0.24.0,0.11.0,20260722,sport_matched,running,180,mean_90_interval_width_bpm,bpm,Endomondo,unseen_user_zero_history,24.094588540782244,22.54465940062527,25.799138346719,GoldenCheetah,forced_zero_history,27.750003328541034,25.973012768695696,29.805412099630903,3.65541478775879,1.1727556727534365,6.212394953860183,88,50,8431,3819,60542,34670,10000,user independently within each source,"origin-within-session, session-within-user, equal-user family mean, then stated family weighting",True,False,False
0.24.0,0.11.0,20260722,sport_matched,running,180,weighted_interval_score,bpm,Endomondo,unseen_user_zero_history,3.6985698819522765,3.4160164921081786,4.002174938514586,GoldenCheetah,forced_zero_history,4.869501433672368,4.25174399121721,5.586212311073999,1.1709315517200913,0.47616485929458036,1.942156643402945,88,50,8431,3819,60542,34670,10000,user independently within each source,"origin-within-session, session-within-user, equal-user family mean, then stated family weighting",True,False,False
0.24.0,0.11.0,20260722,equal_family_standardized,macro_average_three_families,180,picp_90,proportion,Endomondo,unseen_user_zero_history,0.8808008035682339,0.8389692152986732,0.9090756475152745,GoldenCheetah,forced_zero_history,0.8393880172256551,0.8218391044022201,0.8555203354898225,-0.04141278634257872,-0.0758745197239459,0.00345503316607864,104,144,14762,31851,99921,531725,10000,user independently within each source,"origin-within-session, session-within-user, equal-user family mean, then stated family weighting",True,False,False
0.24.0,0.11.0,20260722,equal_family_standardized,macro_average_three_families,180,mean_90_interval_width_bpm,bpm,Endomondo,unseen_user_zero_history,31.912467269122505,29.981544956005568,34.01572583165706,GoldenCheetah,forced_zero_history,31.81116198431937,30.990843649974504,32.67423786030194,-0.10130528480313572,-2.371087892970911,2.035022713636031,104,144,14762,31851,99921,531725,10000,user independently within each source,"origin-within-session, session-within-user, equal-user family mean, then stated family weighting",True,False,False
0.24.0,0.11.0,20260722,equal_family_standardized,macro_average_three_families,180,weighted_interval_score,bpm,Endomondo,unseen_user_zero_history,4.752370247965871,4.337952547791083,5.196504746347589,GoldenCheetah,forced_zero_history,5.73624110947249,5.329384139807301,6.182908646638169,0.9838708615066194,0.38186794697231186,1.600745897479576,104,144,14762,31851,99921,531725,10000,user independently within each source,"origin-within-session, session-within-user, equal-user family mean, then stated family weighting",True,False,False
