seed,protocol,evaluation,horizon_seconds,contrast,definition,mixed_history_mae_bpm,mixed_zero_mae_bpm,independent_zero_mae_bpm,difference_bpm,negative_favors_left,users,sessions,origins,aggregation,row_index_sha256,user_support_sha256
20260724,strict_temporal,internal_test,180,mixed_zero_minus_independent_zero,mixed forced-zero-history minus independently trained zero-history,7.561564426446922,7.64991335390254,7.631506070234501,0.018407283668036508,True,948,16012,104144,"origin-within-session, session-within-user, equal-user mean",4d0a7239283fe1441d5b793f5c83cc347af692967c403bc2fda92f0bbd9ca737,5fe297c6daaa20fb6f330a616362d5e6b8af5864196baeb18b501366fe243592
20260725,strict_temporal,internal_test,180,mixed_zero_minus_independent_zero,mixed forced-zero-history minus independently trained zero-history,7.562630955165409,7.652718680105228,7.617408494914608,0.03531018519062687,True,948,16012,104144,"origin-within-session, session-within-user, equal-user mean",4d0a7239283fe1441d5b793f5c83cc347af692967c403bc2fda92f0bbd9ca737,5fe297c6daaa20fb6f330a616362d5e6b8af5864196baeb18b501366fe243592
20260726,strict_temporal,internal_test,180,mixed_zero_minus_independent_zero,mixed forced-zero-history minus independently trained zero-history,7.556801175293229,7.644672966560962,7.606478998418353,0.03819396814260509,True,948,16012,104144,"origin-within-session, session-within-user, equal-user mean",4d0a7239283fe1441d5b793f5c83cc347af692967c403bc2fda92f0bbd9ca737,5fe297c6daaa20fb6f330a616362d5e6b8af5864196baeb18b501366fe243592
20260722,strict_temporal,internal_test,300,mixed_history_minus_independent_zero,mixed history-informed minus independently trained zero-history,8.245007894389452,8.365703152070228,8.320712716882026,-0.07570482249257429,True,948,16012,104144,"origin-within-session, session-within-user, equal-user mean",4d0a7239283fe1441d5b793f5c83cc347af692967c403bc2fda92f0bbd9ca737,5fe297c6daaa20fb6f330a616362d5e6b8af5864196baeb18b501366fe243592
20260723,strict_temporal,internal_test,300,mixed_history_minus_independent_zero,mixed history-informed minus independently trained zero-history,8.239315397779519,8.358435584878402,8.332129863286253,-0.09281446550675157,True,948,16012,104144,"origin-within-session, session-within-user, equal-user mean",4d0a7239283fe1441d5b793f5c83cc347af692967c403bc2fda92f0bbd9ca737,5fe297c6daaa20fb6f330a616362d5e6b8af5864196baeb18b501366fe243592
20260724,strict_temporal,internal_test,300,mixed_history_minus_independent_zero,mixed history-informed minus independently trained zero-history,8.260446607256203,8.363932465058847,8.335265285340181,-0.07481867808397902,True,948,16012,104144,"origin-within-session, session-within-user, equal-user mean",4d0a7239283fe1441d5b793f5c83cc347af692967c403bc2fda92f0bbd9ca737,5fe297c6daaa20fb6f330a616362d5e6b8af5864196baeb18b501366fe243592
20260725,strict_temporal,internal_test,300,mixed_history_minus_independent_zero,mixed history-informed minus independently trained zero-history,8.267219787274016,8.378640624146565,8.329279732505558,-0.06205994523154944,True,948,16012,104144,"origin-within-session, session-within-user, equal-user mean",4d0a7239283fe1441d5b793f5c83cc347af692967c403bc2fda92f0bbd9ca737,5fe297c6daaa20fb6f330a616362d5e6b8af5864196baeb18b501366fe243592
20260726,strict_temporal,internal_test,300,mixed_history_minus_independent_zero,mixed history-informed minus independently trained zero-history,8.24481495513656,8.354556956830015,8.332703907173554,-0.08788895203699618,True,948,16012,104144,"origin-within-session, session-within-user, equal-user mean",4d0a7239283fe1441d5b793f5c83cc347af692967c403bc2fda92f0bbd9ca737,5fe297c6daaa20fb6f330a616362d5e6b8af5864196baeb18b501366fe243592
20260722,strict_temporal,internal_test,300,mixed_history_minus_mixed_zero,mixed history-informed minus mixed forced-zero-history,8.245007894389452,8.365703152070228,8.320712716882026,-0.12069525768076876,True,948,16012,104144,"origin-within-session, session-within-user, equal-user mean",4d0a7239283fe1441d5b793f5c83cc347af692967c403bc2fda92f0bbd9ca737,5fe297c6daaa20fb6f330a616362d5e6b8af5864196baeb18b501366fe243592
20260723,strict_temporal,internal_test,300,mixed_history_minus_mixed_zero,mixed history-informed minus mixed forced-zero-history,8.239315397779519,8.358435584878402,8.332129863286253,-0.11912018709889892,True,948,16012,104144,"origin-within-session, session-within-user, equal-user mean",4d0a7239283fe1441d5b793f5c83cc347af692967c403bc2fda92f0bbd9ca737,5fe297c6daaa20fb6f330a616362d5e6b8af5864196baeb18b501366fe243592
